set,n_theta,frac_of_grid,age_Gyr_host_mean,age_Gyr_toy_mean
ALL_GRID,2048,1.0,5.7924115698603345,14.198943591690824
FRW_VIABLE,1016,0.49609375,9.736688669957466,12.223081450683049
HOST_AGE_ANCHOR,34,0.0166015625,13.598533473720874,12.576957385883702
FRW_VIABLE_AND_HOST_AGE_ANCHOR,34,0.0166015625,13.598533473720874,12.576957385883702
TOY_AGE_WINDOW,100,0.048828125,2.4702020236014297,13.788812833454381
FRW_VIABLE_AND_TOY_AGE_WINDOW,100,0.048828125,2.4702020236014297,13.788812833454381
