theta_index,theta,omega_lambda,age_Gyr_toy,age_Gyr_host,frw_viable
955,2.9299033048615746,1.4547546514288712,11.819354906498448,11.806475739596,1
956,2.9329712664373457,1.450233892871856,11.82680473724003,11.822565238840928,1
957,2.9360392280131173,1.4456731152747129,11.8343415031931,11.838869820239465,1
958,2.9391071895888885,1.4410725653372347,11.84196546107038,11.855391083127618,1
959,2.94217515116466,1.4364324955507732,11.849676864851183,11.872130642529491,1
960,2.945243112740431,1.431753164168303,11.857475965742028,11.88909012939959,1
961,2.9483110743162024,1.4270348351732678,11.865363012136216,11.90627119086794,1
962,2.9513790358919736,1.4222777782471507,11.873338249572528,11.92367549048834,1
963,2.9544469974677448,1.417482268735829,11.88140192069284,11.941304708489492,1
964,2.9575149590435164,1.412648587614726,11.8895542651987,11.959160542029135,1
965,2.9605829206192875,1.4077770214526837,11.897795519806936,11.977244705451485,1
966,2.9636508821950587,1.402867862374646,11.906125918204154,11.995558930547656,1
967,2.96671884377083,1.397921408023149,11.914545691000152,12.014104966819302,1
968,2.969786805346601,1.3929379615185198,11.92305506568035,12.03288458174574,1
969,2.9728547669223726,1.3879178314179754,11.931654266556947,12.051899561054016,1
970,2.975922728498144,1.3828613316734517,11.940343514719116,12.071151708992666,1
971,2.978990690073916,1.377768781588245,11.949123027981996,12.090642848608804,1
972,2.9820586516496865,1.3726405057725033,11.957993020834504,12.11037482202863,1
973,2.9851266132254577,1.3674768340975267,11.966953704386007,12.130349490741487,1
974,2.988194574801229,1.3622781016488323,11.9760052863119,12.150568735887786,1
975,2.9912625363770005,1.3570446486781875,11.985147970797764,12.171034458550093,1
976,2.994330497952772,1.351776820554356,11.99438195848254,12.19174858004842,1
977,2.997398459528543,1.3464749677127714,12.003707446400334,12.21271304223906,1
978,3.000466421104314,1.34113944560407,12.013124627920982,12.23392980781723,1
979,3.003534382680085,1.3357706146414263,12.022633692689451,12.255400860623936,1
980,3.0066023442558567,1.3303688401468865,12.032234826563794,12.277128205956329,1
981,3.009670305831628,1.324934492296482,12.041928211551935,12.299113870882556,1
982,3.0127382674073995,1.3194679460642946,12.051714025747126,12.321359904560516,1
983,3.01580622898317,1.3139695811654315,12.061592443262004,12.343868378560783,1
984,3.018874190558942,1.3084397819979248,12.071563634161338,12.36664138719379,1
985,3.021942152134713,1.3028789375835057,12.08162776439351,12.389681047841552,1
986,3.025010113710485,1.2972874415074298,12.091784995720404,12.41298950129337,1
987,3.028078075286256,1.2916656918571638,12.102035485646107,12.436568912086337,1
988,3.031146036862027,1.2860140911600593,12.112379387344127,12.460421468850354,1
989,3.034213998437798,1.2803330463200675,12.122816849583096,12.48454938465748,1
990,3.0372819600135696,1.2746229685533277,12.133348016651244,12.50895489737648,1
991,3.040349921589341,1.268884273322894,12.143973028279154,12.533640270031588,1
992,3.043417883165112,1.263117380272376,12.154692019561288,12.558607791166528,1
993,3.046485844740884,1.257322713158671,12.165505120875844,12.58385977521328,1
994,3.0495538063166547,1.2515006997837057,12.176412457803258,12.60939856286594,1
995,3.052621767892426,1.2456517719252744,12.187414151043034,12.63522652145957,1
996,3.055689729468197,1.2397763652668934,12.198510316329246,12.661346045354438,1
997,3.0587576910439687,1.233874919326812,12.209701064344284,12.687759556325275,1
998,3.06182565261974,1.2279478773860857,12.220986500631184,12.71446950395602,1
999,3.064893614195511,1.2219956864157564,12.232366725504352,12.7414783660401,1
1000,3.067961575771282,1.2160187970032286,12.243841833958646,12.768788648985929,1
1001,3.0710295373470538,1.210017663277688,12.255411915577014,12.796402888228544,1
1002,3.074097498922825,1.203992742834812,12.2670770544363,12.824323648646388,1
1003,3.077165460498596,1.1979444966605648,12.278837329011628,12.85255352498432,1
1004,3.080233422074368,1.191873389054232,12.290692812079032,12.881095142282376,1
1005,3.083301383650139,1.1857798875506684,12.30264357061651,12.90995115631054,1
1006,3.08636934522591,1.179664462841782,12.314689665703334,12.939124254009585,1
1007,3.089437306801681,1.1735275886972245,12.326831152417835,12.968617153938323,1
1008,3.0925052683774528,1.167369741884423,12.339068079733346,12.998432606726864,1
1009,3.095573229953224,1.1611914020878369,12.351400490412573,13.028573395536467,1
1010,3.098641191528995,1.1549930518275269,12.363828420900228,13.059042336525971,1
1011,3.1017091531047662,1.1487751763770904,12.376351901213926,13.089842279324555,1
1012,3.104777114680538,1.142538263680841,12.388970954833498,13.120976107511725,1
1013,3.107845076256309,1.136282804270464,12.401685598588369,13.152446739103558,1
1014,3.11091303783208,1.1300092911809605,12.414495842543388,13.184257127046331,1
1015,3.113980999407852,1.1237182198660067,12.42740168988288,13.216410259717126,1
1016,3.117048960983623,1.1174100881127609,12.440403136792913,13.248909161431447,1
1017,3.120116922559394,1.1110853959560762,12.45350017234182,13.281756892958288,1
1018,3.1231848841351653,1.1047446455921492,12.466692778359093,13.314956552042704,1
1019,3.126252845710937,1.0983883412916904,12.47998092931235,13.34851127393567,1
1020,3.129320807286708,1.0920169893125613,12.49336459218267,13.382424231931775,1
1021,3.132388768862479,1.085631097811914,12.506843726338149,13.416698637914694,1
1022,3.1354567304382504,1.0792311767579044,12.520418283405624,13.451337742910432,1
1023,3.138524692014022,1.0728177378408978,12.534088207140822,13.486344837648897,1
1024,3.141592653589793,1.0663912943843268,12.547853433296524,13.521723253133237,1
1025,3.1446606151655643,1.0599523612550767,12.561713889489164,13.557476361217836,1
1026,3.147728576741336,1.0535014547735388,12.575669495063591,13.59360757519451,1
1027,3.150796538317107,1.0470390926232669,12.589720160956118,13.630120350387388,1
1028,3.153864499892878,1.0405657937603283,12.603865789555774,13.667018184756364,1
1029,3.1569324614686494,1.034082078322284,12.61810627456398,13.704304619509651,1
1030,3.160000423044421,1.0275884675369331,12.63244150085231,13.741983239724982,1
1031,3.163068384620192,1.0210854836307424,12.64687134431868,13.780057674980135,1
1032,3.166136346195964,1.0145736497370264,12.661395671741769,13.818531599992724,1
1033,3.1692043077717345,1.0080534898039233,12.676014340633769,13.85740873526922,1
1034,3.172272269347506,1.0015255285020968,12.690727199091516,13.89669284776392,1
1035,3.175340230923277,0.9949902911323356,12.70553408564586,6.146358348241089,1
1036,3.1784081924990484,0.9884483035329192,12.720434829109475,5.392538951632728,1
1037,3.18147615407482,0.9819000919868702,12.735429248423026,4.991533581869885,1
1038,3.184544115650591,0.9753461831290774,12.750517152499729,4.718020880086314,1
