theta_index,theta,omega_lambda,age_Gyr_host,age_Gyr_toy,frw_viable,in_host_age_anchor_window
0,0.0,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
1,0.0030679615757712,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
2,0.0061359231515425,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
3,0.0092038847273138,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
4,0.0122718463030851,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
5,0.0153398078788564,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
6,0.0184077694546276,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
7,0.0214757310303989,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
8,0.0245436926061702,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
9,0.0276116541819415,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
10,0.0306796157577128,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
11,0.0337475773334841,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
12,0.0368155389092553,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
13,0.0398835004850266,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
14,0.0429514620607979,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
15,0.0460194236365692,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
16,0.0490873852123405,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
17,0.0521553467881118,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
18,0.055223308363883,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
19,0.0582912699396543,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
20,0.0613592315154256,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
21,0.0644271930911969,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
22,0.0674951546669682,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
23,0.0705631162427394,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
24,0.0736310778185107,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
25,0.076699039394282,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
26,0.0797670009700533,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
27,0.0828349625458246,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
28,0.0859029241215959,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
29,0.0889708856973671,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
30,0.0920388472731384,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
31,0.0951068088489097,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
32,0.098174770424681,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
33,0.1012427320004523,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
34,0.1043106935762236,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
35,0.1073786551519948,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
36,0.1104466167277661,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
37,0.1135145783035374,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
38,0.1165825398793087,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
39,0.11965050145508,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
40,0.1227184630308513,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
41,0.1257864246066225,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
42,0.1288543861823938,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
43,0.1319223477581651,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
44,0.1349903093339364,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
45,0.1380582709097077,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
46,0.1411262324854789,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
47,0.1441941940612502,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
48,0.1472621556370215,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
49,0.1503301172127928,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
50,0.1533980787885641,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
51,0.1564660403643354,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
52,0.1595340019401067,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
53,0.1626019635158779,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
54,0.1656699250916492,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
55,0.1687378866674205,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
56,0.1718058482431918,0.0605471905292464,1.874177045214887,16.479896458221216,0,False
57,0.174873809818963,0.0613384435003536,1.8746990856348755,16.473578426327503,0,False
58,0.1779417713947343,0.0629003856565723,1.8757311453827024,16.461143804110304,0,False
59,0.1810097329705056,0.0644911979748368,1.876784397340801,16.448529833921643,0,False
60,0.1840776945462769,0.0661111478772445,1.877859143364598,16.435736769844866,0,False
61,0.1871456561220482,0.0677605003816628,1.878955688236228,16.422764930318646,0,False
62,0.1902136176978195,0.0694395180176997,1.8800743397200548,16.409614698051513,0,False
63,0.1932815792735908,0.071148460743019,1.881215408620316,16.396286519879062,0,False
64,0.196349540849362,0.0728875858600149,1.8823792088409512,16.382780906564243,0,False
65,0.1994175024251333,0.0746571479328786,1.883566057447675,16.36909843254106,0,False
66,0.2024854640009046,0.0764573987050775,1.8847762747323324,16.355239735602293,0,False
67,0.2055534255766759,0.0782885870172691,1.8860101842796195,16.34120551653187,0,False
