set,n_theta,frac_of_grid,age_Gyr_diff_mean,age_Gyr_diff_std,age_Gyr_diff_min,age_Gyr_diff_max,age_Gyr_rel_diff_mean,age_Gyr_rel_diff_std,age_Gyr_rel_diff_min,age_Gyr_rel_diff_max
ALL_GRID,2048,1.0,-8.40653202183049,6.780161118805369,-14.605719413006328,1.2059656486724055,-0.5330258962665113,0.4271397009353369,-0.8862749502118425,0.0950273085027575
FRW_VIABLE,1016,0.49609375,-2.486392780725581,4.781281915449517,-12.910789775459817,1.2059656486724055,-0.1789917412017062,0.34486394086774796,-0.8621610235044588,0.0950273085027575
CORRIDOR_AND_VIABLE,154,0.0751953125,-11.858251053475767,0.6451747040733241,-12.910789775459817,-10.688415370046034,-0.8361616821734335,0.018448204613264543,-0.8621610235044588,-0.7974948473233676
CORRIDOR_AND_VIABLE_AND_ANCHOR,18,0.0087890625,-10.867665015965754,0.09069315968659254,-11.006316660141923,-10.724236940987897,-0.8050224141405331,0.003710600684043642,-0.8105999073092521,-0.7990541029957547
