theta_index,theta,omega_lambda,age_Gyr,age_Gyr_host,age_Gyr_diff,age_Gyr_rel_diff,frw_viable
0,0.0,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
1,0.0030679615757712,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
2,0.0061359231515425,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
3,0.0092038847273138,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
4,0.0122718463030851,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
5,0.0153398078788564,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
6,0.0184077694546276,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
7,0.0214757310303989,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
8,0.0245436926061702,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
9,0.0276116541819415,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
10,0.0306796157577128,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
11,0.0337475773334841,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
12,0.0368155389092553,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
13,0.0398835004850266,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
14,0.0429514620607979,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
15,0.0460194236365692,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
16,0.0490873852123405,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
17,0.0521553467881118,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
18,0.055223308363883,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
19,0.0582912699396543,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
20,0.0613592315154256,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
21,0.0644271930911969,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
22,0.0674951546669682,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
23,0.0705631162427394,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
24,0.0736310778185107,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
25,0.076699039394282,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
26,0.0797670009700533,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
27,0.0828349625458246,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
28,0.0859029241215959,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
29,0.0889708856973671,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
30,0.0920388472731384,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
31,0.0951068088489097,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
32,0.098174770424681,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
33,0.1012427320004523,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
34,0.1043106935762236,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
35,0.1073786551519948,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
36,0.1104466167277661,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
37,0.1135145783035374,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
38,0.1165825398793087,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
39,0.11965050145508,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
40,0.1227184630308513,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
41,0.1257864246066225,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
42,0.1288543861823938,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
43,0.1319223477581651,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
44,0.1349903093339364,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
45,0.1380582709097077,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
46,0.1411262324854789,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
47,0.1441941940612502,0.0605471905292464,16.479896458221216,1.874177045214887,-14.605719413006328,-0.8862749502118425,0
