theta_star,baseline_a_final,seesaw_a_final,constraint_hits
2.18,4.5842393214867005,4.597585795815769,1000
2.5533333333333337,4.5842393214867005,4.59594333677502,1000
2.9266666666666667,4.5842393214867005,4.584259480634608,1000
3.3,4.5842393214867005,4.584241288048158,1000
3.6733333333333333,4.5842393214867005,4.5917893674255215,1000
4.046666666666667,4.5842393214867005,4.601828940066317,1000
4.42,4.5842393214867005,4.5844303885580935,1000
4.793333333333333,4.5842393214867005,4.584239331582137,1000
5.166666666666666,4.5842393214867005,4.5875547374879355,1000
5.54,4.5842393214867005,4.605786113103285,1000
