set,n_theta,frac_of_grid,E_vac__mean,E_vac__std,E_vac__min,E_vac__max,omega_lambda__mean,omega_lambda__std,omega_lambda__min,omega_lambda__max,age_Gyr__mean,age_Gyr__std,age_Gyr__min,age_Gyr__max,mech_baseline_A0__mean,mech_baseline_A0__std,mech_baseline_A0__min,mech_baseline_A0__max,mech_baseline_A_floor__mean,mech_baseline_A_floor__std,mech_baseline_A_floor__min,mech_baseline_A_floor__max,mech_baseline_bound__mean,mech_baseline_bound__std,mech_baseline_bound__min,mech_baseline_bound__max,mech_binding_A0__mean,mech_binding_A0__std,mech_binding_A0__min,mech_binding_A0__max,mech_binding_A__mean,mech_binding_A__std,mech_binding_A__min,mech_binding_A__max,mech_binding_bound__mean,mech_binding_bound__std,mech_binding_bound__min,mech_binding_bound__max
ALL_GRID,2048,1.0,4.586828360911843e-06,4.347080855961012e-06,3.967422438472583e-07,1.1072753385579575e-05,0.7,0.6634119177216783,0.0605471905292464,1.6898228492606708,14.198943591690824,2.0929552796888173,11.458118030798577,16.479896458221216,0.03884385369803711,0.015855883960434587,0.00920044944,0.05768513414,0.040687149553925786,0.013361228767539554,0.02509730631,0.05768513414,0.25,0.4330127018922193,0.0,1.0,0.03884385369801924,0.015855883960398928,0.0092004494400285,0.0576851341354539,0.04068714955509872,0.013361228766108955,0.0250973063148326,0.0576851341354539,0.25,0.4330127018922193,0.0,1.0
FRW_VIABLE,1016,0.49609375,8.519352408882359e-06,2.6879050840368734e-06,1.9833894508411994e-06,1.1072753385579575e-05,1.3001460305421417,0.4102036114671119,0.3026868472821679,1.6898228492606708,12.223081450683049,0.9467490761589097,11.458118030798577,14.974917009099803,0.053303011804744095,0.005367908165180791,0.03752770446,0.05768513414,0.053303011804744095,0.005367908165180791,0.03752770446,0.05768513414,0.0,0.0,0.0,0.0,0.05330301180467188,0.005367908165187278,0.0375277044577551,0.0576851341354539,0.05330301180467188,0.005367908165187278,0.0375277044577551,0.0576851341354539,0.0,0.0,0.0,0.0
TOY_CORRIDOR,1186,0.5791015625,1.0471708851767405e-06,9.873492947552137e-07,3.967422438472583e-07,4.737211168658167e-06,0.15980969025795344,0.15068026356042954,0.0605471905292464,0.722950055493574,15.888058428982893,0.7916004574015827,13.402488311892633,16.479896458221216,0.02690328718618044,0.009499037517707453,0.00920044944,0.04665311924,0.030086314094156835,0.006009995823958896,0.02509730631,0.04665311924,0.4317032040472175,0.4953135851787068,0.0,1.0,0.026903287186210007,0.009499037517749958,0.0092004494400285,0.0466531192434377,0.030086314096242697,0.0060099958222984,0.0250973063148326,0.0466531192434377,0.4317032040472175,0.4953135851787068,0.0,1.0
EMPIRICAL_ANCHOR,18,0.0087890625,4.522311113997741e-06,1.0714333912992812e-07,4.352430439890969e-06,4.695148517625938e-06,0.6901539649434594,0.0163512413130802,0.6642283225348345,0.7165308365026313,13.499609562958597,0.04903322274626533,13.42116497591512,13.577989043542908,0.04611234921111111,0.0002731857184452419,0.04567546314,0.04654921201,0.04611234921111111,0.0002731857184452419,0.04567546314,0.04654921201,0.0,0.0,0.0,0.0,0.04611234921174638,0.0002731857185753187,0.045675463144515,0.0465492120126806,0.04611234921174638,0.0002731857185753187,0.045675463144515,0.0465492120126806,0.0,0.0,0.0,0.0
FRW_VIABLE_AND_ANCHOR,18,0.0087890625,4.522311113997741e-06,1.0714333912992812e-07,4.352430439890969e-06,4.695148517625938e-06,0.6901539649434594,0.0163512413130802,0.6642283225348345,0.7165308365026313,13.499609562958597,0.04903322274626533,13.42116497591512,13.577989043542908,0.04611234921111111,0.0002731857184452419,0.04567546314,0.04654921201,0.04611234921111111,0.0002731857184452419,0.04567546314,0.04654921201,0.0,0.0,0.0,0.0,0.04611234921174638,0.0002731857185753187,0.045675463144515,0.0465492120126806,0.04611234921174638,0.0002731857185753187,0.045675463144515,0.0465492120126806,0.0,0.0,0.0,0.0
CORRIDOR_AND_ANCHOR,18,0.0087890625,4.522311113997741e-06,1.0714333912992812e-07,4.352430439890969e-06,4.695148517625938e-06,0.6901539649434594,0.0163512413130802,0.6642283225348345,0.7165308365026313,13.499609562958597,0.04903322274626533,13.42116497591512,13.577989043542908,0.04611234921111111,0.0002731857184452419,0.04567546314,0.04654921201,0.04611234921111111,0.0002731857184452419,0.04567546314,0.04654921201,0.0,0.0,0.0,0.0,0.04611234921174638,0.0002731857185753187,0.045675463144515,0.0465492120126806,0.04611234921174638,0.0002731857185753187,0.045675463144515,0.0465492120126806,0.0,0.0,0.0,0.0
CORRIDOR_AND_VIABLE_AND_ANCHOR,18,0.0087890625,4.522311113997741e-06,1.0714333912992812e-07,4.352430439890969e-06,4.695148517625938e-06,0.6901539649434594,0.0163512413130802,0.6642283225348345,0.7165308365026313,13.499609562958597,0.04903322274626533,13.42116497591512,13.577989043542908,0.04611234921111111,0.0002731857184452419,0.04567546314,0.04654921201,0.04611234921111111,0.0002731857184452419,0.04567546314,0.04654921201,0.0,0.0,0.0,0.0,0.04611234921174638,0.0002731857185753187,0.045675463144515,0.0465492120126806,0.04611234921174638,0.0002731857185753187,0.045675463144515,0.0465492120126806,0.0,0.0,0.0,0.0
