frw_scalar,mech_var,pearson_r,covariance,n_points
E_vac,mech_baseline_A0,0.93528669693591,6.449782117539163e-08,2048
E_vac,mech_baseline_A_floor,0.9769365004402883,5.677047968402724e-08,2048
E_vac,mech_baseline_bound,-0.5564992756685566,-1.0480332642584602e-06,2048
E_vac,mech_binding_A0,0.9352866969350669,6.449782117518844e-08,2048
E_vac,mech_binding_A,0.9769365004554877,5.677047967883202e-08,2048
E_vac,mech_binding_bound,-0.5564992756685566,-1.0480332642584602e-06,2048
omega_lambda,mech_baseline_A0,0.9352866969359098,0.009843070477090795,2048
omega_lambda,mech_baseline_A_floor,0.9769365004402882,0.008663793944737675,2048
omega_lambda,mech_baseline_bound,-0.5564992756685566,-0.15994129870494664,2048
omega_lambda,mech_binding_A0,0.9352866969350669,0.009843070477059788,2048
omega_lambda,mech_binding_A,0.976936500455488,0.00866379394394483,2048
omega_lambda,mech_binding_bound,-0.5564992756685566,-0.15994129870494664,2048
age_Gyr,mech_baseline_A0,-0.9672184625822957,-0.03211345962382631,2048
age_Gyr,mech_baseline_A_floor,-0.9974558403985916,-0.02790693469022071,2048
age_Gyr,mech_baseline_bound,0.6292101719899001,0.5705167892836154,2048
age_Gyr,mech_binding_A0,-0.9672184625817517,-0.032113459623736025,2048
age_Gyr,mech_binding_A,-0.9974558404050332,-0.027906934687412913,2048
age_Gyr,mech_binding_bound,0.6292101719899001,0.5705167892836154,2048
