family_id,n_theta,frac_of_grid,mech_baseline_A0__mean,mech_baseline_A0__std,mech_baseline_A0__min,mech_baseline_A0__max,mech_baseline_A_floor__mean,mech_baseline_A_floor__std,mech_baseline_A_floor__min,mech_baseline_A_floor__max,mech_baseline_bound__mean,mech_baseline_bound__std,mech_baseline_bound__min,mech_baseline_bound__max,mech_binding_A0__mean,mech_binding_A0__std,mech_binding_A0__min,mech_binding_A0__max,mech_binding_A__mean,mech_binding_A__std,mech_binding_A__min,mech_binding_A__max,mech_binding_bound__mean,mech_binding_bound__std,mech_binding_bound__min,mech_binding_bound__max
ALL_GRID,2048,1.0,0.03884385369803711,0.015859756444058192,0.00920044944,0.05768513414,0.040687149553925786,0.013364491981354858,0.02509730631,0.05768513414,0.25,0.4331184566140043,0.0,1.0,0.03884385369801924,0.015859756444022523,0.0092004494400285,0.0576851341354539,0.04068714955509872,0.013364491979923909,0.0250973063148326,0.0576851341354539,0.25,0.4331184566140043,0.0,1.0
FRW_VIABLE,1016,0.49609375,0.053303011804744095,0.005370551803935085,0.03752770446,0.05768513414,0.053303011804744095,0.005370551803935085,0.03752770446,0.05768513414,0.0,0.0,0.0,0.0,0.05330301180467188,0.005370551803941574,0.0375277044577551,0.0576851341354539,0.05330301180467188,0.005370551803941574,0.0375277044577551,0.0576851341354539,0.0,0.0,0.0,0.0
LCDM_LIKE,63,0.03076171875,0.04622613771206349,0.0009626779535501319,0.04458590213,0.04782174877,0.04622613771206349,0.0009626779535501319,0.04458590213,0.04782174877,0.0,0.0,0.0,0.0,0.046226137712553635,0.000962677953675716,0.0445859021276783,0.0478217487718259,0.046226137712553635,0.000962677953675716,0.0445859021276783,0.0478217487718259,0.0,0.0,0.0,0.0
TOY_CORRIDOR,1186,0.5791015625,0.02690328718618044,0.009503044705195422,0.00920044944,0.04665311924,0.030086314094156835,0.006012531152409132,0.02509730631,0.04665311924,0.4317032040472175,0.4955225341798502,0.0,1.0,0.026903287186210007,0.009503044705237943,0.0092004494400285,0.0466531192434377,0.030086314096242697,0.006012531150747936,0.0250973063148326,0.0466531192434377,0.4317032040472175,0.4955225341798502,0.0,1.0
CORRIDOR_AND_VIABLE,154,0.0751953125,0.042278871576948054,0.002676744144469638,0.03752770446,0.04665311924,0.042278871576948054,0.002676744144469638,0.03752770446,0.04665311924,0.0,0.0,0.0,0.0,0.042278871576937015,0.002676744144954597,0.0375277044577551,0.0466531192434377,0.042278871576937015,0.002676744144954597,0.0375277044577551,0.0466531192434377,0.0,0.0,0.0,0.0
CORRIDOR_AND_LCDM,40,0.01953125,0.045625964592250004,0.0006294022449527515,0.04458590213,0.04665311924,0.045625964592250004,0.0006294022449527515,0.04458590213,0.04665311924,0.0,0.0,0.0,0.0,0.04562596459282085,0.0006294022454470733,0.0445859021276783,0.0466531192434377,0.04562596459282085,0.0006294022454470733,0.0445859021276783,0.0466531192434377,0.0,0.0,0.0,0.0
FRW_VIABLE_AND_DATA_OK,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
