family_id,frw_col,mech_col,n_theta,frac_of_grid,pearson_r,covariance
TOY_CORRIDOR,E_vac,mech_baseline_A_floor,1186,0.5791015625,0.963943985340416,5.724837016914576e-09
TOY_CORRIDOR,E_vac,mech_baseline_bound,1186,0.5791015625,-0.5741612370002058,-2.810290838486877e-07
TOY_CORRIDOR,E_vac,mech_binding_A0,1186,0.5791015625,0.830627094481258,7.796915999544093e-09
TOY_CORRIDOR,E_vac,mech_binding_A,1186,0.5791015625,0.9639439853913868,5.724837015635579e-09
TOY_CORRIDOR,E_vac,mech_binding_bound,1186,0.5791015625,-0.5741612370002058,-2.810290838486877e-07
TOY_CORRIDOR,omega_lambda,mech_baseline_A0,1186,0.5791015625,0.8306270944786244,0.001189894360589098
TOY_CORRIDOR,omega_lambda,mech_baseline_A_floor,1186,0.5791015625,0.9639439853404165,0.00087367252413246
TOY_CORRIDOR,omega_lambda,mech_baseline_bound,1186,0.5791015625,-0.5741612370002058,-0.04288810114860591
TOY_CORRIDOR,omega_lambda,mech_binding_A0,1186,0.5791015625,0.8306270944812579,0.001189894360598195
TOY_CORRIDOR,omega_lambda,mech_binding_A,1186,0.5791015625,0.9639439853913869,0.000873672523937271
TOY_CORRIDOR,omega_lambda,mech_binding_bound,1186,0.5791015625,-0.5741612370002058,-0.04288810114860591
TOY_CORRIDOR,age_Gyr,mech_baseline_A0,1186,0.5791015625,-0.8780246327633964,-0.006607827214173135
TOY_CORRIDOR,age_Gyr,mech_baseline_A_floor,1186,0.5791015625,-0.9917822389565454,-0.0047224011066086145
TOY_CORRIDOR,age_Gyr,mech_baseline_bound,1186,0.5791015625,0.6516311902058994,0.25571398394094713
TOY_CORRIDOR,age_Gyr,mech_binding_A0,1186,0.5791015625,-0.8780246327649127,-0.006607827214214114
TOY_CORRIDOR,age_Gyr,mech_binding_A,1186,0.5791015625,-0.9917822389833643,-0.004722401105431565
TOY_CORRIDOR,age_Gyr,mech_binding_bound,1186,0.5791015625,0.6516311902058994,0.25571398394094713
CORRIDOR_AND_VIABLE,E_vac,mech_baseline_A0,154,0.0751953125,0.9964833844532618,2.162887020604531e-09
CORRIDOR_AND_VIABLE,E_vac,mech_baseline_A_floor,154,0.0751953125,0.9964833844532618,2.162887020604531e-09
CORRIDOR_AND_VIABLE,E_vac,mech_baseline_bound,154,0.0751953125,,
CORRIDOR_AND_VIABLE,E_vac,mech_binding_A0,154,0.0751953125,0.9964833844538692,2.1628870209977106e-09
CORRIDOR_AND_VIABLE,E_vac,mech_binding_A,154,0.0751953125,0.9964833844538692,2.1628870209977106e-09
CORRIDOR_AND_VIABLE,E_vac,mech_binding_bound,154,0.0751953125,,
CORRIDOR_AND_VIABLE,omega_lambda,mech_baseline_A0,154,0.0751953125,0.9964833844532612,0.000330080132783122
CORRIDOR_AND_VIABLE,omega_lambda,mech_baseline_A_floor,154,0.0751953125,0.9964833844532612,0.000330080132783122
CORRIDOR_AND_VIABLE,omega_lambda,mech_baseline_bound,154,0.0751953125,,
CORRIDOR_AND_VIABLE,omega_lambda,mech_binding_A0,154,0.0751953125,0.9964833844538692,0.0003300801328431256
CORRIDOR_AND_VIABLE,omega_lambda,mech_binding_A,154,0.0751953125,0.9964833844538692,0.0003300801328431256
CORRIDOR_AND_VIABLE,omega_lambda,mech_binding_bound,154,0.0751953125,,
CORRIDOR_AND_VIABLE,age_Gyr,mech_baseline_A0,154,0.0751953125,-0.9998760859087233,-0.0012400241184975954
CORRIDOR_AND_VIABLE,age_Gyr,mech_baseline_A_floor,154,0.0751953125,-0.9998760859087233,-0.0012400241184975954
CORRIDOR_AND_VIABLE,age_Gyr,mech_baseline_bound,154,0.0751953125,,
CORRIDOR_AND_VIABLE,age_Gyr,mech_binding_A0,154,0.0751953125,-0.9998760859087108,-0.0012400241187222412
CORRIDOR_AND_VIABLE,age_Gyr,mech_binding_A,154,0.0751953125,-0.9998760859087108,-0.0012400241187222412
CORRIDOR_AND_VIABLE,age_Gyr,mech_binding_bound,154,0.0751953125,,
CORRIDOR_AND_LCDM,E_vac,mech_baseline_A0,40,0.01953125,0.9998342250266904,1.5046664681894584e-10
CORRIDOR_AND_LCDM,E_vac,mech_baseline_A_floor,40,0.01953125,0.9998342250266904,1.5046664681894584e-10
CORRIDOR_AND_LCDM,E_vac,mech_baseline_bound,40,0.01953125,,
CORRIDOR_AND_LCDM,E_vac,mech_binding_A0,40,0.01953125,0.9998342250233637,1.5046664693661913e-10
CORRIDOR_AND_LCDM,E_vac,mech_binding_A,40,0.01953125,0.9998342250233637,1.5046664693661913e-10
CORRIDOR_AND_LCDM,E_vac,mech_binding_bound,40,0.01953125,,
CORRIDOR_AND_LCDM,omega_lambda,mech_baseline_A0,40,0.01953125,0.9998342250266902,2.29628502498235e-05
CORRIDOR_AND_LCDM,omega_lambda,mech_baseline_A_floor,40,0.01953125,0.9998342250266902,2.29628502498235e-05
CORRIDOR_AND_LCDM,omega_lambda,mech_baseline_bound,40,0.01953125,,
CORRIDOR_AND_LCDM,omega_lambda,mech_binding_A0,40,0.01953125,0.9998342250233637,2.296285026778173e-05
CORRIDOR_AND_LCDM,omega_lambda,mech_binding_A,40,0.01953125,0.9998342250233637,2.296285026778173e-05
CORRIDOR_AND_LCDM,omega_lambda,mech_binding_bound,40,0.01953125,,
CORRIDOR_AND_LCDM,age_Gyr,mech_baseline_A0,40,0.01953125,-0.9999992611799803,-7.095448516766131e-05
CORRIDOR_AND_LCDM,age_Gyr,mech_baseline_A_floor,40,0.01953125,-0.9999992611799803,-7.095448516766131e-05
CORRIDOR_AND_LCDM,age_Gyr,mech_baseline_bound,40,0.01953125,,
CORRIDOR_AND_LCDM,age_Gyr,mech_binding_A0,40,0.01953125,-0.9999992611796649,-7.095448522336537e-05
CORRIDOR_AND_LCDM,age_Gyr,mech_binding_A,40,0.01953125,-0.9999992611796649,-7.095448522336537e-05
CORRIDOR_AND_LCDM,age_Gyr,mech_binding_bound,40,0.01953125,,
