scale_factor,omega_center,age_center,omega_half_base,age_half_base,omega_half_scaled,age_half_scaled,n_in_box,frac_in_box,n_in_box_and_frw_viable,frac_in_box_and_frw_viable,n_in_box_and_corridor,frac_in_box_and_corridor,n_in_box_and_corridor_and_frw,frac_in_box_and_corridor_and_frw
0.5,0.6903795795187329,13.499577009729014,0.026151256983898363,0.07841203381389406,0.013075628491949182,0.03920601690694703,8,0.00390625,8,0.00390625,8,0.00390625,8,0.00390625
1.0,0.6903795795187329,13.499577009729014,0.026151256983898363,0.07841203381389406,0.026151256983898363,0.07841203381389406,18,0.0087890625,18,0.0087890625,18,0.0087890625,18,0.0087890625
1.5,0.6903795795187329,13.499577009729014,0.026151256983898363,0.07841203381389406,0.039226885475847545,0.11761805072084108,26,0.0126953125,26,0.0126953125,24,0.01171875,24,0.01171875
