set,n_theta,frac_of_grid
ALL_GRID,2048,1.0
FRW_VIABLE,2048,1.0
TOY_CORRIDOR,2048,1.0
HOST_CALIBRATED_CORRIDOR,778,0.3798828125
HOST_CORRIDOR_AND_ANCHOR,0,0.0
