family_id,theta_star,theta_closest,abs_delta,index_closest,omega_lambda_closest,E_vac_closest,age_Gyr_closest,n_true,frac_of_grid
F1_FRW_VIABLE,2.1784575679,2.1782527187976104,0.0002048491023893817,710,1.53029925200157,1.002745715680426e-05,11.697833410861984,1016,0.49609375
F2_LCDM_LIKE,2.1784575679,3.267379078196416,1.0889215102964163,1065,0.7981552327100757,5.230001511149668e-06,13.19222703384002,63,0.03076171875
F3_TOY_CORRIDOR,2.1784575679,3.304194617105671,1.125737049205671,1077,0.7208639119563652,4.723541479599021e-06,13.40854473267705,1186,0.5791015625
F4_CORRIDOR_AND_VIABLE,2.1784575679,3.304194617105671,1.125737049205671,1077,0.7208639119563652,4.723541479599021e-06,13.40854473267705,154,0.0751953125
F5_CORRIDOR_AND_LCDM,2.1784575679,3.304194617105671,1.125737049205671,1077,0.7208639119563652,4.723541479599021e-06,13.40854473267705,40,0.01953125
