i	part	claim_index	dup_of
1518	p4	1518	
1519	p4	1519	
1520	p4	1520	
1521	p4	1521	
1522	p4	1522	
1523	p4	1523	
1524	p4	1524	
1525	p4	1525	
1526	p4	1526	
1527	p4	1527	
1528	p4	1528	
1529	p4	1529	
1530	p4	1530	
1531	p4	1531	
1532	p4	1532	
1533	p4	1533	
1534	p4	1534	
