i	part	claim_index	dup_of
348	p1	789	
349	p1	790	
350	p1	791	
351	p1	792	
352	p1	793	
353	p1	794	
354	p1	795	
355	p1	796	
356	p1	797	
357	p1	798	
358	p1	799	
359	p1	800	
360	p1	801	
361	p1	802	
362	p1	803	
363	p1	804	
364	p1	805	
365	p1	806	
366	p1	807	
367	p1	808	
368	p1	809	
369	p1	810	
370	p1	811	
371	p1	812	
372	p1	813	
373	p1	814	
374	p1	815	
375	p1	816	
376	p1	817	
377	p1	818	
378	p1	819	
379	p1	820	
380	p1	821	
381	p1	822	
382	p1	823	
383	p1	824	
384	p1	825	
385	p1	826	
386	p1	827	
387	p1	828	
388	p1	829	
389	p1	830	
390	p1	831	
391	p1	832	
392	p1	833	
393	p1	834	
394	p1	835	
395	p1	836	
396	p1	837	
397	p1	838	
398	p1	839	
399	p1	840	
400	p1	841	
401	p1	842	
402	p1	843	
403	p1	844	
404	p1	845	
405	p1	846	
406	p1	847	
407	p1	848	
408	p1	849	
409	p1	850	
410	p1	851	
411	p1	852	
412	p1	853	
413	p1	854	
414	p1	855	
415	p1	856	
416	p1	857	
417	p1	858	
418	p1	859	
419	p1	860	
420	p1	861	
421	p1	862	
422	p1	863	
423	p1	864	
424	p1	865	
425	p1	866	
426	p1	867	
427	p1	868	
428	p1	869	
429	p1	870	
430	p1	871	
431	p1	872	
432	p1	873	
433	p1	874	
434	p1	875	
435	p1	876	
436	p1	877	
437	p1	878	
438	p1	879	
439	p1	880	
440	p1	881	
441	p1	882	
442	p1	883	
443	p1	884	
444	p1	885	
445	p1	886	
446	p1	887	
447	p1	888	
448	p1	889	
449	p1	890	
450	p1	891	
451	p1	892	
452	p1	893	
453	p1	894	
454	p1	895	
455	p1	896	
456	p1	897	
457	p1	898	
458	p1	899	
459	p1	900	
460	p1	901	
461	p1	902	
462	p1	903	
463	p1	904	
464	p1	905	
465	p1	906	
466	p1	907	
467	p1	908	
468	p1	909	
469	p1	910	
470	p1	911	
471	p1	912	
472	p1	913	
473	p1	914	
474	p1	915	
475	p1	916	
476	p1	917	
477	p1	918	
478	p1	919	
479	p1	920	
480	p1	921	
481	p1	922	
482	p1	923	
483	p1	924	
484	p1	925	
485	p1	926	
486	p1	927	
487	p1	928	
488	p1	929	
489	p1	930	
490	p1	931	
491	p1	932	
492	p1	933	
493	p1	934	
494	p1	935	
495	p1	936	
496	p1	937	
497	p1	938	
498	p1	939	
499	p1	940	
500	p1	941	
501	p1	942	
502	p1	943	
503	p1	944	
504	p1	945	
505	p1	946	
506	p1	947	
507	p1	948	
508	p1	949	
509	p1	950	
510	p1	951	
511	p1	952	
512	p1	953	
513	p1	954	
514	p1	955	
515	p1	956	
516	p1	957	
517	p1	958	
518	p1	959	
519	p1	960	
520	p1	961	
521	p1	962	
522	p1	963	
523	p1	964	
524	p1	965	
525	p1	966	
526	p1	967	
527	p1	968	
528	p1	969	
529	p1	970	
530	p1	971	
531	p1	972	
532	p1	973	
533	p1	974	
534	p1	975	
535	p1	976	
536	p1	977	
537	p1	978	
538	p1	979	
539	p1	980	
540	p1	981	
541	p1	982	
542	p1	983	
543	p1	984	
544	p1	985	
545	p2	724	283
546	p2	725	284
547	p2	726	285
548	p2	727	286
549	p2	728	287
550	p2	729	288
551	p2	730	289
552	p2	731	290
553	p2	732	291
554	p2	733	292
555	p2	734	293
556	p2	735	294
557	p2	736	295
558	p2	737	296
559	p2	738	297
560	p2	739	298
561	p2	740	299
562	p2	741	300
563	p2	742	301
564	p2	743	302
565	p2	744	303
566	p2	745	304
567	p2	746	305
568	p2	747	306
569	p2	748	307
570	p2	749	308
571	p2	750	309
572	p2	751	310
573	p2	752	311
574	p2	753	312
575	p2	754	313
576	p2	755	314
577	p2	756	315
578	p2	757	316
579	p2	758	317
580	p2	759	318
