22 points
-1.802775637731995 0.000000000000000 0.000000000000000
1.802775637731995 0.000000000000000 0.000000000000000
0.000000000000000 -1.802775637731995 0.000000000000000
0.000000000000000 1.802775637731995 0.000000000000000
0.000000000000000 0.000000000000000 -1.802775637731995
0.000000000000000 0.000000000000000 1.802775637731995
1.582515280631442 -0.379952861654779 -1.582515280631442
-1.582515280631442 0.379952861654779 -1.582515280631442
0.379952861654779 -1.582515280631442 0.379952861654779
-0.379952861654779 1.582515280631442 0.379952861654779
-0.662311182834112 -2.040251236142552 0.662311182834112
0.662311182834112 2.040251236142552 0.662311182834112
-2.040251236142552 -0.662311182834112 2.040251236142552
2.040251236142552 0.662311182834112 2.040251236142552
2.040251236142552 -0.662311182834112 -2.040251236142552
-2.040251236142552 0.662311182834112 -2.040251236142552
0.662311182834112 -2.040251236142552 -0.662311182834112
-0.662311182834112 2.040251236142552 -0.662311182834112
-0.379952861654779 -1.582515280631442 -0.379952861654779
0.379952861654779 1.582515280631442 -0.379952861654779
-1.582515280631442 -0.379952861654779 1.582515280631442
1.582515280631442 0.379952861654779 1.582515280631442
