n_modes,cutoff_type,cutoff_value,epsilon,phase_type,phase_value,constraint_applied,residual_raw,residual_constrained,cancellation_ratio_raw,cancellation_ratio_constrained,amplitude_raw_re,amplitude_raw_im,amplitude_con_re,amplitude_con_im,sweep,sweep_value
512,sharp,1.0,1e-12,irrational_fixed,golden_ratio,False,1.8640648476264552,1.8640648476264552,1.8640648476264552,1.8640648476264552,1.7373688780783199,0.6754902942615236,1.7373688780783199,0.6754902942615236,n_modes,512
1024,sharp,1.0,1e-12,irrational_fixed,golden_ratio,False,1.8640648476264552,1.8640648476264552,1.8640648476264552,1.8640648476264552,1.7373688780783199,0.6754902942615236,1.7373688780783199,0.6754902942615236,n_modes,1024
2048,sharp,1.0,1e-12,irrational_fixed,golden_ratio,False,1.8640648476264552,1.8640648476264552,1.8640648476264552,1.8640648476264552,1.7373688780783199,0.6754902942615236,1.7373688780783199,0.6754902942615236,n_modes,2048
4096,sharp,1.0,1e-12,irrational_fixed,golden_ratio,False,1.8640648476264552,1.8640648476264552,1.8640648476264552,1.8640648476264552,1.7373688780783199,0.6754902942615236,1.7373688780783199,0.6754902942615236,n_modes,4096
