chamber,N,a,b,A,B,label_name,target_label,gap_index,measured_label,label_error,gap_width,gap_rank
C1_BOX,3000,1.0,0.72,0.52,0.32,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.09781235135554955,10
C1_BOX,3000,1.0,0.72,0.52,0.32,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.12203955128375088,5
C1_BOX,3000,1.0,0.72,0.52,0.32,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.3272968231620633,1
C1_BOX,3000,1.0,0.72,0.52,0.32,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.09885117341662708,7
C1_BOX,3000,1.0,0.72,0.52,0.32,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.23478424519813312,4
C1_BOX,3000,1.0,0.72,0.52,0.37333333333333335,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.08668551041117589,8
C1_BOX,3000,1.0,0.72,0.52,0.37333333333333335,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.11544177297411817,5
C1_BOX,3000,1.0,0.72,0.52,0.37333333333333335,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.32249836677001653,1
C1_BOX,3000,1.0,0.72,0.52,0.37333333333333335,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.08250725594900277,10
C1_BOX,3000,1.0,0.72,0.52,0.37333333333333335,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.21129441810944982,3
C1_BOX,3000,1.0,0.72,0.52,0.42666666666666664,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.07126975691745518,7
C1_BOX,3000,1.0,0.72,0.52,0.42666666666666664,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.10883575475991192,6
C1_BOX,3000,1.0,0.72,0.52,0.42666666666666664,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.3184931804170543,1
C1_BOX,3000,1.0,0.72,0.52,0.42666666666666664,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.06706651518704321,12
C1_BOX,3000,1.0,0.72,0.52,0.42666666666666664,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.18791693667315054,4
C1_BOX,3000,1.0,0.72,0.52,0.48,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.052355854376480604,12
C1_BOX,3000,1.0,0.72,0.52,0.48,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.10258984154444795,5
C1_BOX,3000,1.0,0.72,0.52,0.48,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.31593043266248355,2
C1_BOX,3000,1.0,0.72,0.52,0.48,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.05271319160548105,9
C1_BOX,3000,1.0,0.72,0.52,0.48,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.16569712144278856,4
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.32,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.08101265829425253,12
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.32,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.12507477584412485,6
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.32,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.2828408072958932,2
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.32,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.10773400155219748,8
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.32,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.2600805611185481,3
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.37333333333333335,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.06975467399886814,11
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.37333333333333335,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.11776418853311021,5
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.37333333333333335,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.27572674689186916,2
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.37333333333333335,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.09371555478651727,8
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.37333333333333335,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.2339595332239378,3
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.42666666666666664,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.05834695386818223,15
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.42666666666666664,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.11047876096171882,6
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.42666666666666664,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.269034728097415,2
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.42666666666666664,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.08041960651353108,8
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.42666666666666664,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.20923220670764459,3
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.48,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.04086502631832345,17
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.48,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.1035894626084699,5
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.48,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.2637647876591387,1
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.48,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.0677618605454372,8
C1_BOX,3000,1.0,0.72,0.5733333333333334,0.48,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.1845439121222648,4
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.32,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.06434003499070773,14
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.32,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.12085364079394334,5
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.32,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.24877222460920312,3
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.32,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.11011254833736117,8
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.32,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.2852003735371693,2
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.37333333333333335,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.05314184949323342,17
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.37333333333333335,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.11342349729600865,5
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.37333333333333335,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.2387373040416223,4
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.37333333333333335,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.0992769679778458,7
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.37333333333333335,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.256371189349749,2
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.42666666666666664,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.04181813041198801,17
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.42666666666666664,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.10613324737346908,6
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.42666666666666664,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.228486940473424,3
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.42666666666666664,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.089037955604927,8
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.42666666666666664,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.22932557705097117,1
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.48,f_b,0.16811738900752848,505,0.16833333333333333,0.000215944325804851,0.03209714747542525,19
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.48,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.0993201710771019,6
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.48,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.2193017341052489,2
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.48,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.07899986388225155,7
C1_BOX,3000,1.0,0.72,0.6266666666666667,0.48,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.2037837232940581,4
C1_BOX,3000,1.0,0.72,0.68,0.32,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.04812165071710983,18
C1_BOX,3000,1.0,0.72,0.68,0.32,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.1092562695713668,7
C1_BOX,3000,1.0,0.72,0.68,0.32,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.2266171871124053,4
C1_BOX,3000,1.0,0.72,0.68,0.32,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.10640738916012116,10
C1_BOX,3000,1.0,0.72,0.68,0.32,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.3098385440448951,2
C1_BOX,3000,1.0,0.72,0.68,0.37333333333333335,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.03723106580335922,20
C1_BOX,3000,1.0,0.72,0.68,0.37333333333333335,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.1023406496098993,7
C1_BOX,3000,1.0,0.72,0.68,0.37333333333333335,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.21328511062690136,4
C1_BOX,3000,1.0,0.72,0.68,0.37333333333333335,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.09956091996128724,9
C1_BOX,3000,1.0,0.72,0.68,0.37333333333333335,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.27852021878824706,1
C1_BOX,3000,1.0,0.72,0.68,0.42666666666666664,f_b,0.16811738900752848,505,0.16833333333333333,0.000215944325804851,0.029260461849900166,20
C1_BOX,3000,1.0,0.72,0.68,0.42666666666666664,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.09577674473952036,5
C1_BOX,3000,1.0,0.72,0.68,0.42666666666666664,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.19904896958398066,4
C1_BOX,3000,1.0,0.72,0.68,0.42666666666666664,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.09306019131816556,7
C1_BOX,3000,1.0,0.72,0.68,0.42666666666666664,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.2489293872858802,1
C1_BOX,3000,1.0,0.72,0.68,0.48,f_b,0.16811738900752848,505,0.16833333333333333,0.000215944325804851,0.03454057653652387,20
C1_BOX,3000,1.0,0.72,0.68,0.48,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.08981042974508169,6
C1_BOX,3000,1.0,0.72,0.68,0.48,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.18511046068199877,4
C1_BOX,3000,1.0,0.72,0.68,0.48,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.08621078854292341,8
C1_BOX,3000,1.0,0.72,0.68,0.48,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.22120808992399127,1
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.32,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.12922753453953328,5
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.32,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.11290218810732733,8
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.32,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.3452129589684888,2
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.32,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.0962762496452021,10
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.32,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.2254605812384073,3
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.37333333333333335,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.11709056119343919,5
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.37333333333333335,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.10708587530642166,7
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.37333333333333335,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.33925817838183636,2
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.37333333333333335,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.0784294558598333,9
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.37333333333333335,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.20266433352042224,4
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.42666666666666664,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.10362885039379766,6
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.42666666666666664,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.10107977106310262,8
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.42666666666666664,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.33388883925585733,1
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.42666666666666664,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.06167907966763486,11
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.42666666666666664,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.18011771514217625,3
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.48,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.08466609731082841,7
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.48,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.09519545159346277,6
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.48,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.32975635078224763,1
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.48,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.04636570832917486,13
C1_BOX,3000,1.0,0.7733333333333333,0.52,0.48,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.15837192140314285,3
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.32,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.11246316313452875,7
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.32,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.11692068448106996,5
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.32,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.30233820671655454,1
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.32,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.10634887533948556,10
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.32,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.249973126857646,3
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.37333333333333335,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.100185557402523,7
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.37333333333333335,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.11043845333648328,5
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.37333333333333335,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.29429898213022354,2
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.37333333333333335,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.09056740365304461,10
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.37333333333333335,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.2243858809258386,3
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.42666666666666664,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.08752055224314148,8
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.42666666666666664,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.10375248164442308,5
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.42666666666666664,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.28642600418402264,1
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.42666666666666664,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.07565497938927768,9
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.42666666666666664,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.2004165846119289,4
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.48,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.07264400661552428,7
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.48,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.09719172871963755,6
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.48,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.27969929997779464,2
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.48,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.06164694365923984,11
C1_BOX,3000,1.0,0.7733333333333333,0.5733333333333334,0.48,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.17641985315076322,3
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.32,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.09559264187145788,11
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.32,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.11446360758821728,5
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.32,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.26895015634202946,3
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.32,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.11019421137352703,7
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.32,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.274456140520413,2
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.37333333333333335,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.08337161817941618,12
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.37333333333333335,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.10776734443259572,6
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.37333333333333335,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.25839251979696765,2
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.37333333333333335,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.09722458931634015,8
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.37333333333333335,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.24621254951544308,3
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.42666666666666664,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.07074669255546828,11
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.42666666666666664,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.1009292839205922,6
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.42666666666666664,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.2473199378811649,2
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.42666666666666664,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.0850064011900995,7
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.42666666666666664,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.2196680747616609,4
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.48,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.058082877826279855,14
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.48,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.09427380125044915,6
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.48,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.23697785099954105,1
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.48,f_A,0.3460143392358259,1038,0.346,1.4339235825944208e-05,0.07328229690270438,7
C1_BOX,3000,1.0,0.7733333333333333,0.6266666666666667,0.48,f_a+f_b,0.44013703852159747,1320,0.44,0.00013703852159746566,0.19479338748314579,4
C1_BOX,3000,1.0,0.7733333333333333,0.68,0.32,f_b,0.16811738900752848,504,0.168,0.00011738900752847337,0.07885294882807892,12
C1_BOX,3000,1.0,0.7733333333333333,0.68,0.32,f_B,0.2138486222425766,642,0.214,0.0001513777574233821,0.10523592916152191,10
C1_BOX,3000,1.0,0.7733333333333333,0.68,0.32,f_a,0.272019649514069,816,0.272,1.9649514068964535e-05,0.24638934531962908,3
