label_name,target_label,golden_index_cutoff,distance_to_best_index_le_30,best_index_le_30,tolerance,first_index,label,distance
f_b,0.16811738900752848,30,0.0009331190050043681,24,0.0001,1998,0.16809047771016594,2.691129736254183e-05
f_b,0.16811738900752848,30,0.0009331190050043681,24,1e-05,19709,0.16811572832193633,1.660685592153044e-06
f_b,0.16811738900752848,30,0.0009331190050043681,24,1e-06,176709,0.16811800516734365,6.161598151699366e-07
f_B,0.2138486222425766,30,0.0009331190050043681,23,0.0001,1997,0.21387553353997646,2.6911297399845324e-05
f_B,0.2138486222425766,30,0.0009331190050043681,23,1e-05,19708,0.21385028292752395,1.6606849473355112e-06
f_B,0.2138486222425766,30,0.0009331190050043681,23,1e-06,176710,0.21384800608211663,6.161604599874693e-07
f_a,0.272019649514069,30,0.0015098182656472225,15,0.0001,1235,0.2719761061200643,4.354339400469698e-05
f_a,0.272019649514069,30,0.0015098182656472225,15,1e-05,12181,0.2720169624690243,2.6870450446914163e-06
f_a,0.272019649514069,30,0.0015098182656472225,15,1e-06,109212,0.2720206464873627,9.96973293698744e-07
f_A,0.3460143392358259,30,0.0015098182656472225,14,0.0001,1234,0.3460578826297933,4.3543393967393484e-05
f_A,0.3460143392358259,30,0.0015098182656472225,14,1e-05,12180,0.34601702628060593,2.687044780014247e-06
f_A,0.3460143392358259,30,0.0015098182656472225,14,1e-06,109213,0.34601334226317704,9.969726488812114e-07
f_a+f_b,0.44013703852159747,30,0.0024429372706507024,9,0.0001,763,0.44006658383023023,7.045469136723881e-05
f_a+f_b,0.44013703852159747,30,0.0024429372706507024,9,1e-05,7528,0.4401326907918701,4.347729727349758e-06
f_a+f_b,0.44013703852159747,30,0.0024429372706507024,9,1e-06,128921,0.44013637480384205,6.637177554225104e-07
