set,n_theta,frac_of_grid,age_Gyr_host_mean,age_Gyr_host_std,age_Gyr_host_min,age_Gyr_host_max,age_Gyr_repo_mean,age_Gyr_repo_std,age_Gyr_repo_min,age_Gyr_repo_max,omega_lambda_repo_mean,omega_lambda_repo_std,omega_lambda_repo_min,omega_lambda_repo_max,Omega_lambda_host_mean,Omega_lambda_host_std,Omega_lambda_host_min,Omega_lambda_host_max
ALL_GRID,2048,1.0,46.853598864317505,46.696157365982046,9.507378977280066,129.63401533296403,14.198943591690824,2.0929552796888173,11.458118030798577,16.479896458221216,0.7,0.6634119177216783,0.0605471905292464,1.6898228492606708,0.7,0.6634119177216783,0.0605471905292464,1.6898228492606708
FRW_VIABLE,1016,0.49609375,84.60703836992802,39.582788704722226,10.47098085295862,129.63401533296403,12.223081450683049,0.9467490761589097,11.458118030798577,14.974917009099803,1.3001460305421417,0.4102036114671119,0.3026868472821679,1.6898228492606708,1.3001460305421417,0.4102036114671119,0.3026868472821679,1.6898228492606708
TOY_CORRIDOR,1186,0.5791015625,9.951752623895755,0.7985623610424156,9.507378977280066,13.768129392685454,15.888058428982893,0.7916004574015827,13.402488311892633,16.479896458221216,0.15980969025795344,0.15068026356042954,0.0605471905292464,0.722950055493574,0.15980969025795344,0.15068026356042954,0.0605471905292464,0.722950055493574
HOST_AGE_ANCHOR,22,0.0107421875,13.766056927995926,0.27804808184174773,13.334461755887638,14.242131022157633,13.405925357422102,0.058779193481374094,13.310435632550425,13.501960489461938,0.7219710218701345,0.0202442063300186,0.6892324576956915,0.7552013719062298,0.7219710218701345,0.0202442063300186,0.6892324576956915,0.7552013719062298
FRW_VIABLE_AND_HOST_AGE_ANCHOR,22,0.0107421875,13.766056927995926,0.27804808184174773,13.334461755887638,14.242131022157633,13.405925357422102,0.058779193481374094,13.310435632550425,13.501960489461938,0.7219710218701345,0.0202442063300186,0.6892324576956915,0.7552013719062298,0.7219710218701345,0.0202442063300186,0.6892324576956915,0.7552013719062298
CORRIDOR_AND_HOST_AGE_ANCHOR,12,0.005859375,13.545826208496983,0.14020268438662042,13.334461755887638,13.768129392685454,13.452299455227367,0.03217537210540404,13.402488311892633,13.501960489461938,0.7059818054592418,0.010905676060969507,0.6892324576956915,0.722950055493574,0.7059818054592418,0.010905676060969507,0.6892324576956915,0.722950055493574
CORRIDOR_AND_VIABLE_AND_HOST_AGE_ANCHOR,12,0.005859375,13.545826208496983,0.14020268438662042,13.334461755887638,13.768129392685454,13.452299455227367,0.03217537210540404,13.402488311892633,13.501960489461938,0.7059818054592418,0.010905676060969507,0.6892324576956915,0.722950055493574,0.7059818054592418,0.010905676060969507,0.6892324576956915,0.722950055493574
