theta_index,theta,omega_lambda_repo,age_Gyr_repo,age_Gyr_host,omega_lambda,age_Gyr,frw_viable,in_toy_corridor,mech_baseline_A0,mech_baseline_A_floor,mech_baseline_bound,mech_binding_A0,mech_binding_A,mech_binding_bound
209,0.641203969336198,0.6909742008548254,13.496737744423967,13.35554217840455,0.6909742008548254,13.496737744423967,True,True,0.04612847215,0.04612847215,0,0.0461284721544798,0.0461284721544798,0
210,0.6442719309119693,0.6973443295506299,13.477715977390943,13.433794396537689,0.6973443295506299,13.477715977390943,True,True,0.04623442179,0.04623442179,0,0.0462344217941425,0.0462344217941425,0
211,0.6473398924877406,0.7037274751097072,13.458779470216797,13.514085736418211,0.7037274751097072,13.458779470216797,True,True,0.04633986232,0.04633986232,0,0.0463398623150074,0.0463398623150074,0
212,0.6504078540635119,0.7101231431306816,13.439928912756496,13.596506524307634,0.7101231431306816,13.439928912756496,True,True,0.04644479272,0.04644479272,0,0.0464447927153797,0.0464447927153797,0
213,0.6534758156392831,0.7165308365026313,13.42116497591512,13.681153298875198,0.7165308365026313,13.42116497591512,True,True,0.04654921201,0.04654921201,0,0.0465492120126806,0.0465492120126806,0
214,0.6565437772150544,0.722950055493574,13.402488311892633,13.768129392685454,0.722950055493574,13.402488311892633,True,True,0.04665311924,0.04665311924,0,0.0466531192434377,0.0466531192434377,0
1077,3.304194617105671,0.7208639119563652,13.40854473267705,13.739618223784776,0.7208639119563652,13.40854473267705,True,True,0.04661942722,0.04661942722,0,0.0466194272215882,0.0466194272215882,0
1078,3.3072625786814425,0.7145065808170861,13.42707958310764,13.65418270613618,0.7145065808170861,13.42707958310764,True,True,0.04651630083,0.04651630083,0,0.0465163008342192,0.0465163008342192,0
1079,3.3103305402572136,0.708164312252092,13.445689360391476,13.57104808202834,0.708164312252092,13.445689360391476,True,True,0.04641273076,0.04641273076,0,0.0464127307571317,0.0464127307571317,0
1080,3.313398501832985,0.7018375655572069,13.464373296926466,13.49011228139912,0.7018375655572069,13.464373296926466,True,True,0.04630871869,0.04630871869,0,0.0463087186944464,0.0463087186944464,0
1081,3.3164664634087564,0.6955267965904113,13.4831306075679,13.411279925499011,0.6955267965904113,13.4831306075679,True,True,0.04620426637,0.04620426637,0,0.0462042663747373,0.0462042663747373,0
1082,3.319534424984528,0.6892324576956915,13.501960489461938,13.334461755887638,0.6892324576956915,13.501960489461938,True,True,0.04609937555,0.04609937555,0,0.0460993755511252,0.0460993755511252,0
