theta_index,theta,Omega_m,Omega_lambda,H0_km_s_Mpc,age_Gyr_host
0,0.0,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1,0.0030679615757712,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
2,0.0061359231515425,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
3,0.0092038847273138,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
4,0.0122718463030851,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
5,0.0153398078788564,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
6,0.0184077694546276,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
7,0.0214757310303989,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
8,0.0245436926061702,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
9,0.0276116541819415,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
10,0.0306796157577128,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
11,0.0337475773334841,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
12,0.0368155389092553,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
13,0.0398835004850266,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
14,0.0429514620607979,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
15,0.0460194236365692,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
16,0.0490873852123405,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
17,0.0521553467881118,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
18,0.055223308363883,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
19,0.0582912699396543,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
20,0.0613592315154256,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
21,0.0644271930911969,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
22,0.0674951546669682,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
23,0.0705631162427394,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
24,0.0736310778185107,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
25,0.076699039394282,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
26,0.0797670009700533,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
27,0.0828349625458246,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
28,0.0859029241215959,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
29,0.0889708856973671,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
30,0.0920388472731384,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
31,0.0951068088489097,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
32,0.098174770424681,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
33,0.1012427320004523,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
34,0.1043106935762236,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
35,0.1073786551519948,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
36,0.1104466167277661,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
37,0.1135145783035374,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
38,0.1165825398793087,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
39,0.11965050145508,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
40,0.1227184630308513,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
41,0.1257864246066225,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
42,0.1288543861823938,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
43,0.1319223477581651,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
44,0.1349903093339364,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
45,0.1380582709097077,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
46,0.1411262324854789,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
47,0.1441941940612502,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
48,0.1472621556370215,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
49,0.1503301172127928,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
50,0.1533980787885641,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
51,0.1564660403643354,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
52,0.1595340019401067,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
53,0.1626019635158779,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
54,0.1656699250916492,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
55,0.1687378866674205,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
56,0.1718058482431918,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
57,0.174873809818963,0.9386615564996464,0.0613384435003536,70.0,9.510027242458632
58,0.1779417713947343,0.9370996143434276,0.0629003856565723,70.0,9.515262790921847
59,0.1810097329705056,0.9355088020251632,0.0644911979748368,70.0,9.520605845675556
60,0.1840776945462769,0.9338888521227556,0.0661111478772445,70.0,9.526057938010233
61,0.1871456561220482,0.9322394996183372,0.0677605003816628,70.0,9.531620614063485
62,0.1902136176978195,0.9305604819823003,0.0694395180176997,70.0,9.53729543510167
63,0.1932815792735908,0.9288515392569808,0.071148460743019,70.0,9.54308397781238
64,0.196349540849362,0.9271124141399852,0.0728875858600149,70.0,9.548987834607928
65,0.1994175024251333,0.9253428520671214,0.0746571479328786,70.0,9.55500861394024
66,0.2024854640009046,0.9235426012949224,0.0764573987050775,70.0,9.561147940627343
67,0.2055534255766759,0.9217114129827308,0.0782885870172691,70.0,9.56740745619184
68,0.2086213871524472,0.9198490412743244,0.0801509587256756,70.0,9.573788819211593
69,0.2116893487282184,0.917955243379052,0.0820447566209481,70.0,9.580293705683026
70,0.2147573103039897,0.9160297796524718,0.0839702203475282,70.0,9.586923809397305
71,0.217825271879761,0.9140724136764456,0.0859275863235545,70.0,9.593680842329796
72,0.2208932334555323,0.9120829123386874,0.0879170876613126,70.0,9.600566535043125
73,0.2239611950313036,0.9100610459117306,0.0899389540882693,70.0,9.607582637104251
74,0.2270291566070749,0.9080065881312912,0.0919934118687089,70.0,9.614730917515882
75,0.2300971181828461,0.9059193162740116,0.0940806837259883,70.0,9.62201316516271
76,0.2331650797586174,0.903799011234556,0.0962009887654441,70.0,9.629431189272806
77,0.2362330413343887,0.9016454576020316,0.0983545423979685,70.0,9.636986819894691
78,0.23930100291016,0.8994584437357238,0.1005415562642762,70.0,9.644681908390446
79,0.2423689644859313,0.897237761840116,0.1027622381598839,70.0,9.652518327945414
80,0.2454369260617026,0.8949832080391666,0.1050167919608334,70.0,9.660497974094918
81,0.2485048876374738,0.8926945824498401,0.1073054175501599,70.0,9.668622765268545
82,0.2515728492132451,0.8903716892548444,0.1096283107451556,70.0,9.676894643352515
83,0.2546408107890164,0.8880143367745766,0.1119856632254234,70.0,9.68531557427067
84,0.2577087723647877,0.8856223375382465,0.1143776624617535,70.0,9.693887548584664
85,0.260776733940559,0.8831955083541464,0.1168044916458536,70.0,9.702612582113993
86,0.2638446955163303,0.8807336703790689,0.1192663296209311,70.0,9.711492716576416
