theta_index,Omega_m,Omega_lambda,Omega_tot,omega_lambda_repo,age_Gyr_repo,age_Gyr_host,frw_viable,in_toy_corridor,is_near_flat
0,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
1,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
2,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
3,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
4,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
5,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
6,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
7,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
8,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
9,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
10,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
11,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
12,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
13,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
14,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
15,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
16,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
17,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
18,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
19,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
20,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
21,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
22,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
23,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
24,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
25,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
26,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
27,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
28,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
29,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
30,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
31,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
32,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
33,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
34,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
35,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
36,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
37,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
38,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
39,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
40,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
41,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
42,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
43,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
44,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
45,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
46,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
47,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
48,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
49,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
50,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
51,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
52,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
53,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
54,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
55,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
56,0.9394528094707536,0.0605471905292464,1.0,0.0605471905292464,16.479896458221216,9.507378977280066,0,1,True
57,0.9386615564996464,0.0613384435003536,1.0,0.0613384435003536,16.473578426327503,9.510027242458632,0,1,True
58,0.9370996143434276,0.0629003856565723,0.9999999999999999,0.0629003856565723,16.461143804110304,9.515262790921849,0,1,True
59,0.9355088020251632,0.0644911979748368,1.0,0.0644911979748368,16.448529833921643,9.520605845675556,0,1,True
60,0.9338888521227556,0.0661111478772445,1.0000000000000002,0.0661111478772445,16.435736769844866,9.526057938010233,0,1,True
61,0.9322394996183372,0.0677605003816628,1.0,0.0677605003816628,16.422764930318646,9.531620614063485,0,1,True
62,0.9305604819823003,0.0694395180176997,1.0,0.0694395180176997,16.409614698051513,9.53729543510167,0,1,True
63,0.9288515392569808,0.071148460743019,0.9999999999999998,0.071148460743019,16.396286519879062,9.54308397781238,0,1,True
64,0.9271124141399852,0.0728875858600149,1.0000000000000002,0.0728875858600149,16.382780906564243,9.548987834607928,0,1,True
65,0.9253428520671214,0.0746571479328786,1.0,0.0746571479328786,16.36909843254106,9.55500861394024,0,1,True
66,0.9235426012949224,0.0764573987050775,0.9999999999999999,0.0764573987050775,16.355239735602293,9.561147940627343,0,1,True
67,0.9217114129827308,0.0782885870172691,1.0,0.0782885870172691,16.34120551653187,9.56740745619184,0,1,True
68,0.9198490412743244,0.0801509587256756,1.0,0.0801509587256756,16.326996538682543,9.573788819211591,0,1,True
69,0.917955243379052,0.0820447566209481,1.0,0.0820447566209481,16.312613627499722,9.580293705683026,0,1,True
70,0.9160297796524718,0.0839702203475282,1.0,0.0839702203475282,16.298057669992417,9.586923809397303,0,1,True
71,0.9140724136764456,0.0859275863235545,1.0000000000000002,0.0859275863235545,16.283329614152105,9.593680842329796,0,1,True
