N,theta,max_charge,noise_sigma,enforce_zero_sum,n_samples,mean_S_abs,rms_S_abs,mean_S_abs_over_sqrtN,rms_S_abs_over_sqrtN
8,2.1784575679375995,5,0.0,True,500,2.368839790613141,2.7286738253261156,0.8375113397435368,0.9647318827671665
16,2.1784575679375995,5,0.0,True,500,3.5963241874629177,4.008546854473715,0.8990810468657294,1.0021367136184287
32,2.1784575679375995,5,0.0,True,500,5.159542793805263,5.792475559841481,0.9120869243304716,1.0239746870553137
64,2.1784575679375995,5,0.0,True,500,8.28908787470745,9.256439812196312,1.0361359843384312,1.157054976524539
128,2.1784575679375995,5,0.0,True,500,11.997478519386148,13.463573800531199,1.0604373022747355,1.1900230416701434
