N,theta,max_charge,noise_sigma,enforce_zero_sum,n_samples,mean_S_abs,rms_S_abs,mean_S_abs_over_sqrtN,rms_S_abs_over_sqrtN
16,2.598,3,0.0,False,400,3.6595452409528275,4.126659196729339,0.9148863102382069,1.0316647991823347
32,2.598,3,0.0,False,400,5.522857373740888,6.153746680989778,0.9763124751245772,1.0878390019580204
64,2.598,3,0.0,False,400,7.662188088895087,8.60696929785727,0.9577735111118859,1.0758711622321588
128,2.598,3,0.0,False,400,11.440845658809762,12.846719634734871,1.0112374434816322,1.1355003212154242
256,2.598,3,0.0,False,400,18.0696433955293,20.187433586866447,1.1293527122205813,1.261714599179153
512,2.598,3,0.0,False,400,30.731481112828853,33.295433524335316,1.3581524181742242,1.471464176725213
1024,2.598,3,0.0,False,400,55.303788276755675,58.34607950705139,1.7282433836486149,1.823314984595356
2048,2.598,3,0.0,False,400,103.09464738938973,106.81256378760537,2.278091383533546,2.3602465053167627
4096,2.598,3,0.0,False,400,201.2857194091267,205.42086281061003,3.1450893657676047,3.2097009814157818
