theta_star,baseline_delta_E,seesaw_delta_E,constraint_hits
2.18,3.5370108199261896e-05,4.283371987137685e-05,125250
2.2485714285714287,3.5370108199261896e-05,4.602797264896541e-05,125250
2.317142857142857,3.5370108199261896e-05,4.818729068598038e-05,125250
2.385714285714286,3.5370108199261896e-05,4.834212351575995e-05,125250
2.4542857142857146,3.5370108199261896e-05,4.6417892770378444e-05,125250
2.522857142857143,3.5370108199261896e-05,4.329382951934191e-05,125250
2.5914285714285716,3.5370108199261896e-05,4.014811692773512e-05,125250
2.66,3.5370108199261896e-05,3.776605591757076e-05,125250
2.7285714285714286,3.5370108199261896e-05,3.634049630335534e-05,125250
2.797142857142857,3.5370108199261896e-05,3.566983849820349e-05,125250
2.8657142857142857,3.5370108199261896e-05,3.543384059059851e-05,125250
2.9342857142857146,3.5370108199261896e-05,3.537774787534809e-05,125250
3.002857142857143,3.5370108199261896e-05,3.537034085920876e-05,125250
3.0714285714285716,3.5370108199261896e-05,3.536998774869571e-05,125250
3.14,3.5370108199261896e-05,3.5369986109506923e-05,17064
3.208571428571429,3.5370108199261896e-05,3.5369987242461765e-05,125250
3.2771428571428576,3.5370108199261896e-05,3.537028208502879e-05,125250
3.345714285714286,3.5370108199261896e-05,3.537689210689199e-05,125250
3.4142857142857146,3.5370108199261896e-05,3.5428726683717215e-05,125250
3.482857142857143,3.5370108199261896e-05,3.56516484419922e-05,125250
3.5514285714285716,3.5370108199261896e-05,3.6295029008037716e-05,125250
3.62,3.5370108199261896e-05,3.7679176222493727e-05,125250
3.6885714285714286,3.5370108199261896e-05,4.001694469810135e-05,125250
3.757142857142857,3.5370108199261896e-05,4.31398890612944e-05,125250
3.825714285714286,3.5370108199261896e-05,4.629005663153718e-05,125250
3.8942857142857146,3.5370108199261896e-05,4.829497083247425e-05,125250
3.962857142857143,3.5370108199261896e-05,4.8243601575820305e-05,125250
4.031428571428572,3.5370108199261896e-05,4.616069829421754e-05,125250
4.1000000000000005,3.5370108199261896e-05,4.2987258926291405e-05,125250
4.168571428571429,3.5370108199261896e-05,3.9888553426625784e-05,125250
4.2371428571428575,3.5370108199261896e-05,3.759505614858716e-05,125250
4.305714285714286,3.5370108199261896e-05,3.625150231126306e-05,125250
4.3742857142857146,3.5370108199261896e-05,3.563447722593205e-05,125250
4.442857142857143,3.5370108199261896e-05,3.542399228254056e-05,125250
4.511428571428572,3.5370108199261896e-05,3.537612361456666e-05,125250
4.58,3.5370108199261896e-05,3.537023228231129e-05,125250
4.6485714285714295,3.5370108199261896e-05,3.536998688077886e-05,125250
4.717142857142857,3.5370108199261896e-05,3.5369986109506923e-05,18578
4.7857142857142865,3.5370108199261896e-05,3.5369988435896005e-05,125250
4.854285714285714,3.5370108199261896e-05,3.5370408909440876e-05,125250
4.9228571428571435,3.5370108199261896e-05,3.5378684770992486e-05,125250
4.991428571428571,3.5370108199261896e-05,3.5439275306164975e-05,125250
5.0600000000000005,3.5370108199261896e-05,3.568880342808001e-05,125250
5.128571428571429,3.5370108199261896e-05,3.638724868421095e-05,125250
5.1971428571428575,3.5370108199261896e-05,3.785439016940062e-05,125250
5.265714285714286,3.5370108199261896e-05,4.028004184214451e-05,125250
5.3342857142857145,3.5370108199261896e-05,4.3446644703903914e-05,125250
5.402857142857143,3.5370108199261896e-05,4.6542150055006726e-05,125250
5.4714285714285715,3.5370108199261896e-05,4.8384294430797725e-05,125250
5.54,3.5370108199261896e-05,4.8126951587290634e-05,125250
