solve: {"n_eq": 3150, "n_unknown": 1076, "rank": 1076, "sv_min": 0.69950498289154, "sv_max": 1.257741191601473, "resid_rms": 1.634591186975291e-12, "resid_max": 5.411060488569319e-12, "tstar_min": 0.852080340484025, "tstar_max": 2.2212391226631887} 26s
c0 = -0.0000000000-4.2609826349j
in-sample band 60<N<=108: 43 modes, eps_in = 5.54e-07  -> tolerance 5.00e-03
OUT-OF-SAMPLE 108<N<=200: 88 modes, max |c/c0 - S| = 3.39e-04
   of which predicted nonzero: 56 (max dev 3.04e-04), predicted ZERO: 32 (max |obs| 3.39e-04)
  N    mode       nu          S(nu)     obs Re     obs Im    |diff|
 172  (1, -26)   (-13, -1)    +1.21999   +1.22000  +0.00006  6.2e-05
 172  (1, 26)    (13, -1)     +1.21999   +1.22003  -0.00005  6.5e-05
 172  (6, -16)   (-8, -6)     +0.00000   -0.00004  -0.00000  4.0e-05
 172  (6, 16)    (8, -6)      +0.00000   +0.00002  +0.00003  3.3e-05
 172  (7, -10)   (-5, -7)     +1.21999   +1.21996  -0.00000  2.7e-05
 172  (7, 10)    (5, -7)      +1.21999   +1.21997  +0.00003  3.2e-05
 175  (5, -20)   (-10, -5)    -3.02372   -3.02366  -0.00006  8.7e-05
 175  (5, 20)    (10, -5)     +3.02372   +3.02380  -0.00001  8.6e-05
 181  (2, -26)   (-13, -2)    -1.93256   -1.93260  -0.00008  8.4e-05
 181  (2, 26)    (13, -2)     +1.93256   +1.93255  +0.00009  9.3e-05
 183  (7, -12)   (-6, -7)     +0.00000   -0.00003  -0.00002  3.9e-05
 183  (7, 12)    (6, -7)      +0.00000   -0.00025  +0.00017  3.0e-04
 189  (6, -18)   (-9, -6)     +0.00000   +0.00001  -0.00011  1.1e-04
 189  (6, 18)    (9, -6)      +0.00000   -0.00000  -0.00005  4.8e-05
 192  (4, -24)   (-12, -4)    +0.00000   +0.00008  +0.00001  8.2e-05
 192  (4, 24)    (12, -4)     +0.00000   +0.00005  +0.00029  2.9e-04
 192  (8, 0)     (0, -8)      +0.00000   -0.00007  -0.00010  1.2e-04
 193  (8, -2)    (-1, -8)     -0.14396   -0.14391  -0.00009  1.0e-04
 193  (8, 2)     (1, -8)      +0.14396   +0.14391  +0.00000  5.2e-05
 196  (0, 28)    (14, 0)      +0.00000   -0.00010  -0.00013  1.6e-04
 196  (3, -26)   (-13, -3)    -1.28571   -1.28596  +0.00003  2.4e-04
 196  (3, 26)    (13, -3)     -1.28571   -1.28597  +0.00001  2.6e-04
 196  (5, -22)   (-11, -5)    +1.28571   +1.28589  +0.00012  2.1e-04
 196  (5, 22)    (11, -5)     +1.28571   +1.28580  +0.00022  2.3e-04
 196  (7, -14)   (-7, -7)     +2.28571   +2.28577  +0.00011  1.2e-04
 196  (7, 14)    (7, -7)      +2.28571   +2.28591  +0.00023  3.0e-04
 196  (8, -4)    (-2, -8)     +0.00000   +0.00034  +0.00004  3.4e-04
 196  (8, 4)     (2, -8)      +0.00000   +0.00001  +0.00023  2.3e-04
 199  (1, -28)   (-14, -1)    -1.98487   -1.98488  -0.00001  1.7e-05
 199  (1, 28)    (14, -1)     +1.98487   +1.98495  +0.00010  1.3e-04

PRE-REGISTERED OUT-OF-SAMPLE TEST: PASS
