root_index,radius,maximum_krawczyk_ratio,real_lower,real_upper,imag_lower,imag_upper
0,1.0e-18,2.46488657966635121736885177735e-15,2.0242705258060076915139360105692410548785534268655480639557824460515163009800167,2.0242705258060083693705703530748752425051223592076920602010627637008443751281091,-0.00000000000000033892831717125281743783704083534169049981574537163898689577394282244795941474764,0.00000000000000033892831717125281743783704083534169049981574537163898689577394282244795941474764
1,1.0e-18,7.33967859074489058723560356019e-15,13.882775987026930797251006969167853946600557114553050735815082244197171984427879,13.882775987026930893540883542437418916609576937449667089175960344893244965786497,-0.000000000000000048144938286634782628930912161586916189127397226655156719745605274451227056663688,0.000000000000000048144938286634782628930912161586916189127397226655156719745605274451227056663688
2,1.0e-18,9.95055375791097212281786581062e-15,12.637618339789321131395428221248763757634244040937323049806517585807274819848584,12.63761833978932123361961245066259333036760335340702733307316731324876960434116,-0.000000000000000051112092114706914922058250728541832827900454600300070281901671908273179590797705,0.000000000000000051112092114706914922058250728541832827900454600300070281901671908273179590797705
3,1.0e-18,1.14990234259002850254870942747e-14,3.2022429829843765606482388117643039815826654419126212618530986131109352815197848,3.2022429829843767870040366610603618153038446689431169580071647408034128074337067,-0.00000000000000011317789892464802907536756648223410710249420661627140081371464097350968042293122,0.00000000000000011317789892464802907536756648223410710249420661627140081371464097350968042293122
4,1.0e-18,7.91226716842695723931567831795e-13,1.5960464982581315819824482915647519676621396498325386352297565092156809989446398,1.5960464982581322822185756580997438303258187808236574591044203205515563634563851,1.9838682166752526859861398746661987622055224187292583256342424739663866268237846,1.9838682166752533862222672412011906248692015497203771495089062853022619913172902
5,1.0e-18,7.91226716842695723931567831795e-13,1.5960464982581315819824482915647519676621396498325386352297565092156809989446398,1.5960464982581322822185756580997438303258187808236574591044203205515563634563851,-1.9838682166752533862222672412011906248692015497203771495089062853022619913172902,-1.9838682166752526859861398746661987622055224187292583256342424739663866268237846
6,1.0e-22,1.0149763767291997757500371129e-16,-6.15003411178442679147408189366109325597802079593190009389911423545661125504913,-6.1500341117844267914432028691475333358439387168274664618325485536968006898370944,16.905265311224093242621577425670948556120409500139921324800015075145058596282018,16.905265311224093242652456450184508476254491579244354956866580756904869161506213
7,1.0e-22,1.0149763767291997757500371129e-16,-6.15003411178442679147408189366109325597802079593190009389911423545661125504913,-6.1500341117844267914432028691475333358439387168274664618325485536968006898370944,-16.905265311224093242652456450184508476254491579244354956866580756904869161506213,-16.905265311224093242621577425670948556120409500139921324800015075145058596282018
8,1.0e-18,2.84786641133795058135029835676e-14,3.2312189144649997443474914146853249359749524532020424792767792512798303138974404,3.2312189144649999104723590923662655292405743174278893869363332819872980029980609,-0.000000000000000083062433838840470433349502924041097141225854718011751286161701767016983639436809,0.000000000000000083062433838840470433349502924041097141225854718011751286161701767016983639436809
9,1.0e-18,4.29885337876673219477954490205e-15,-2.1209330032783197912568599731179509250684284450742744140602315538240849059664123,-2.1209330032783194622009921660228856330301669922602672953910783685953943624847744,6.0801150458233258716932693855032668866963921894205371434847795968760223941910736,6.0801150458233262007491371925983321787346536422345442621539327821047129376627626
10,1.0e-18,4.29885337876673219477954490205e-15,-2.1209330032783197912568599731179509250684284450742744140602315538240849059664123,-2.1209330032783194622009921660228856330301669922602672953910783685953943624847744,-6.0801150458233262007491371925983321787346536422345442621539327821047129376627626,-6.0801150458233258716932693855032668866963921894205371434847795968760223941910736
12,1.0e-18,4.35430129665528928988001648443e-15,-1.9572834360274333002421100444254896963923634270263466216392047001801420034857208,-1.9572834360274330702002123752356139726474504185046317673240118797640243440574856,4.2691282864361712082021281394796054227134014127484649006599892955714129099596014,4.2691282864361714382440258086694811464583144212701797549751821159875305693867312
13,1.0e-18,4.35430129665528928988001648443e-15,-1.9572834360274333002421100444254896963923634270263466216392047001801420034857208,-1.9572834360274330702002123752356139726474504185046317673240118797640243440574856,-4.2691282864361714382440258086694811464583144212701797549751821159875305693867312,-4.2691282864361712082021281394796054227134014127484649006599892955714129099596014
14,1.0e-18,8.91492080535681721543893168869e-15,-1.3491943916711852447839581357679229673378632169686960225676539100989575684632386,-1.3491943916711850617771087726127110173398675958191467738121116353491161183528195,3.5622950818104305622842561803777573209250945367841631450378617072126979434254754,3.5622950818104307452911055435329692709230901579337123937934039819625393935358945
15,1.0e-18,8.91492080535681721543893168869e-15,-1.3491943916711852447839581357679229673378632169686960225676539100989575684632386,-1.3491943916711850617771087726127110173398675958191467738121116353491161183528195,-3.5622950818104307452911055435329692709230901579337123937934039819625393935358945,-3.5622950818104305622842561803777573209250945367841631450378617072126979434254754
16,1.0e-18,3.13149803584106664720878509328e-14,3.6199148180800633641554050116850829070753483261340760429551052809950946155608701,3.6199148180800638929131886357856147207866738061098098223239596436342343381072612,0.32979735698533783241229812989503763816424268987984287061254486381398812197858684,0.32979735698533836117008175399556945187556816985557664998139922645312784453492672
17,1.0e-18,3.13149803584106664720878509328e-14,3.6199148180800633641554050116850829070753483261340760429551052809950946155608701,3.6199148180800638929131886357856147207866738061098098223239596436342343381072612,-0.32979735698533836117008175399556945187556816985557664998139922645312784453492672,-0.32979735698533783241229812989503763816424268987984287061254486381398812197858684
18,1.0e-18,3.40890442517808804021975000239e-14,3.3372366912630648480408029312310754473851328056230741227258085048480591489394004,3.3372366912630650375178325688492980227141864281454925305366191080667004023002686,-1.0303669159124196850921044661115361921720877152083940812401385384391268358792399,-1.0303669159124194956150748284933136168430340926859756734293279352204855825205826
19,1.0e-18,3.40890442517808804021975000239e-14,3.3372366912630648480408029312310754473851328056230741227258085048480591489394004,3.3372366912630650375178325688492980227141864281454925305366191080667004023002686,1.0303669159124194956150748284933136168430340926859756734293279352204855825205826,1.0303669159124196850921044661115361921720877152083940812401385384391268358792399
20,1.0e-18,2.76306420872620876884829955294e-15,2.1303954347672787698445725001697682589427260594405922139619241549057242993179705,2.1303954347672788159055395528183550179126251391203602682139944428342141241084965,-0.000000000000000023030483526324293392792826602555778285141834095232051361146896011090892687384776,0.000000000000000023030483526324293392792826602555778285141834095232051361146896011090892687384776
21,1.0e-18,1.02563705516928855544080914724e-13,8.7338119211934673555168151755699380522126231453761823700227083399352502705563362,8.7338119211934679049502383699192453191939657820992416075794881109605725782671196,-0.00000000000000027471671159717465415268415248468344525703298855264413763833253213846541397484636,0.0000000000000002747167115971746541631107794149108183096496839988816146852646888838771765909431
22,1.0e-18,4.16960047993682288466095942687e-15,-3.1170984213673578740275930463158687687329048583077757988093191348204505163914958,-3.1170984213673574869366573999172792635636669894719789631337799748094825798100964,-1.4528284003327078030201174606577710387808104617908727673757035401387189611440323,-1.4528284003327074159291818142591815336115725929550759317001643801277510245615275
23,1.0e-18,4.16960047993682288466095942687e-15,-3.1170984213673578740275930463158687687329048583077757988093191348204505163914958,-3.1170984213673574869366573999172792635636669894719789631337799748094825798100964,1.4528284003327074159291818142591815336115725929550759317001643801277510245615275,1.4528284003327078030201174606577710387808104617908727673757035401387189611440323
24,1.0e-18,5.31701244014320202098489893499e-15,-9.0555420012963211206868532548460089377233811271230786187025672453721194209742989,-9.0555420012963207563380343715571313011732174508774765971786570212834724065994878,5.9945478097019964328452673710199371038365540314509997059163249426570143367733952,5.9945478097019967971940862543088147403867177076966017274402351667456613511272031
