atlas_id,root_index,character_class,local_support_status,local_scheme_status,certification,trace_a,trace_b,trace_A,trace_B,kappa_ab,kappa_aA,kappa_aB,kappa_bA,kappa_bB,kappa_AB,min_complex_jacobian_singular_value
I033,34,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.4666587682034407+5.455765945504497j),(0.8232814855831464+0.06780411901398348j),(-0.8803211759348037-0.6998923633795706j),(0.19906039252249985-1.9457742504078048j),(2.894283691599287-2.9355336739078908j),(-26.744833294405037-4.8520820175932595j),(-48.391541641732005-24.456431436293073j),(0.14599527444331484+2.024994042514886j),(-5.787802496209059-0.5458827863757845j),(-4.935747769602039+4.624286302310697j),0.019164619955914446
I034,35,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.4569171281260411-0.75608091885415j),(-0.5882413161392224-0.2911733234426561j),(-0.048874465965986436-0.2811961934336832j),(-0.0925265637497829+0.727828795147128j),(-0.9734086299091176+1.2318697323220804j),(-0.7349182964641725+2.240135235586797j),(2.190895174747637+0.028002792364281603j),(0.09173167219608791+0.3906848074703697j),(-2.518973525129791+0.13275355495336305j),(-10.117529919296238+5.405593719701731j),0.049319328716667284
I035,36,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.4569171281260411+0.75608091885415j),(-0.5882413161392224+0.2911733234426561j),(-0.048874465965986436+0.2811961934336832j),(-0.0925265637497829-0.727828795147128j),(-0.9734086299091176-1.2318697323220804j),(-0.7349182964641725-2.240135235586797j),(2.190895174747637-0.028002792364281603j),(0.09173167219608791-0.3906848074703697j),(-2.518973525129791-0.13275355495336305j),(-10.117529919296238-5.405593719701731j),0.049319328716667284
I036,37,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.4360573339802731+2.5699195025928034e-25j),(1.8574154055402436+2.3003183996244704e-26j),(1.1747572745847712-5.501831497373425e-26j),(-1.5493334289318164-2.172130967716385e-25j),(4.4834308194808425-2.713720483504676e-24j),(4.804207582301136-2.626100379022943e-24j),(2.6570465153123655-1.148179670607831e-24j),(2.227135445636881+2.5011751869136092e-26j),(2.3207756366262515-1.7353051289294095e-25j),(2.2451406000573515-5.337834596578036e-26j),0.013531417306510992
I037,38,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.393794295572693-0.7738962682505582j),(-1.8009178922810447+0.27249276310326803j),(1.0477952114600837-0.2503877690599373j),(0.3699703658188025-0.7202824098526295j),(2.1502483780785946-0.08374647592376738j),(0.9416940718800131+0.07903518186816338j),(-3.208070268136977+2.7906886500747783j),(2.2985172948594155-0.6657825319332003j),(-0.42785605626663337-2.903162504613627j),(-0.04035277079111088-2.8435284538689425j),0.1963887696991639
I038,39,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.393794295572693+0.7738962682505582j),(-1.8009178922810447-0.27249276310326803j),(1.0477952114600837+0.2503877690599373j),(0.3699703658188025+0.7202824098526295j),(2.1502483780785946+0.08374647592376738j),(0.9416940718800131-0.07903518186816338j),(-3.208070268136977-2.7906886500747783j),(2.2985172948594155+0.6657825319332003j),(-0.42785605626663337+2.903162504613627j),(-0.04035277079111088+2.8435284538689425j),0.1963887696991639
I039,40,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.3601820258970125-0.17947486723742312j),(-1.4895137275711774-0.6585873854917572j),(0.6749168582916336-0.13356977639505502j),(0.8070956084753842+0.5632948630043904j),(1.31366386908946+1.5286191461704175j),(1.3208998794283104-0.03904261770582723j),(-0.1350703342744688+1.1400552816401253j),(0.540773856771648+2.6578602908240985j),(1.4757218908005605-0.8935362673240466j),(-1.127530915357743+0.46227796267356863j),0.043694755376172706
I040,41,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.3601820258970125+0.17947486723742312j),(-1.4895137275711774+0.6585873854917572j),(0.6749168582916336+0.13356977639505502j),(0.8070956084753842-0.5632948630043904j),(1.31366386908946-1.5286191461704175j),(1.3208998794283104+0.03904261770582723j),(-0.1350703342744688-1.1400552816401253j),(0.540773856771648-2.6578602908240985j),(1.4757218908005605+0.8935362673240466j),(-1.127530915357743-0.46227796267356863j),0.043694755376172706
R1,42,REDUCIBLE,EXACT_SEMISIMPLE_CHARACTER,TRANSVERSE_FIXED_SCHEME_NOT_CERTIFIED,MU11_WEYL_ORBIT_EXACT_SET_CLASSIFICATION,(-1.3097214678905702-1.1102230246251565e-16j),(1.6825070656623624+1.1102230246251565e-16j),(0.8308300260037729+1.1102230246251565e-16j),(-1.9189859472289945-5.551115123125783e-17j),(2+1.1763819870018472e-16j),(2+3.2454380570958477e-16j),(2.000000000000001+2.3083052802828925e-17j),(2.000000000000001-1.7693149150354968e-17j),(2+4.999625339540713e-17j),(1.9999999999999991+9.614782595735133e-17j),0.20194885008866653
I041,43,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.0953383426789687-0.6535344178226781j),(1.3170906073012314+0.7868574870955224j),(0.8085714402632749-0.16530784529566822j),(-1.8022651080156238-0.1820533988868466j),(1.4291575457761008+2.01648572443754j),(0.8864748891801923+1.013630824373174j),(2.0336646068495297+0.04839864795340443j),(-1.0116518315505398+1.8135959458199162j),(1.9230188994084019+0.7524093314238955j),(1.817346568864206+0.4628198753195536j),0.08508467841992606
I042,44,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.0953383426789687+0.6535344178226781j),(1.3170906073012314-0.7868574870955224j),(0.8085714402632749+0.16530784529566822j),(-1.8022651080156238+0.1820533988868466j),(1.4291575457761008-2.01648572443754j),(0.8864748891801923-1.013630824373174j),(2.0336646068495297-0.04839864795340443j),(-1.0116518315505398-1.8135959458199162j),(1.9230188994084019-0.7524093314238955j),(1.817346568864206-0.4628198753195536j),0.08508467841992606
I043,45,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.08498844497046-3.1335327208572643j),(-0.6645005887077744-0.16956186894628567j),(-0.25877914894273646-0.0800485247446443j),(-1.530288740381961+2.138809280715801j),(-9.174781453999437+5.548462069080484j),(-10.584825502599827+7.117267212280328j),(25.08550891821315+12.20943488424729j),(-1.0250337072186642+0.5834857849063535j),(26.09326743089099-34.97570181707444j),(-72.99627234984689-13.255173857785298j),0.012428811934233881
I044,46,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.08498844497046+3.1335327208572643j),(-0.6645005887077744+0.16956186894628567j),(-0.25877914894273646+0.0800485247446443j),(-1.530288740381961-2.138809280715801j),(-9.174781453999437-5.548462069080484j),(-10.584825502599827-7.117267212280328j),(25.08550891821315-12.20943488424729j),(-1.0250337072186642-0.5834857849063535j),(26.09326743089099+34.97570181707444j),(-72.99627234984689+13.255173857785298j),0.012428811934233881
I045,47,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.0787938021277148-1.5411189218583878j),(2.3376433349221326+0.028985315391668424j),(2.1066453541616603-1.7391494052845944j),(-2.247647582295622-2.627733366177856j),(2.152027376498574-1.3954546291078742j),(-11.182245956358914-8.285025804419877j),(62.70139140443351-14.361732109402528j),(-1.4050483271871084+2.160259546678933j),(14.394862873053043-13.113848070405888j),(-6.8881868807539615-9.63618865526657j),0.05783340849310952
I046,48,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.0787938021277148+1.5411189218583878j),(2.3376433349221326-0.028985315391668424j),(2.1066453541616603+1.7391494052845944j),(-2.247647582295622+2.627733366177856j),(2.152027376498574+1.3954546291078742j),(-11.182245956358914+8.285025804419877j),(62.70139140443351+14.361732109402528j),(-1.4050483271871084-2.160259546678933j),(14.394862873053043+13.113848070405888j),(-6.8881868807539615+9.63618865526657j),0.05783340849310952
I047,49,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.9761603112445887+2.847112855348473e-22j),(1.7209790171280939+9.851799855379337e-23j),(0.43614098819736913-3.2330200760857367e-22j),(-1.9303055623736496-6.667931998358366e-23j),(2.7702490458485602+1.7325695102004726e-21j),(2.0473723887886095+1.7936164425338363e-21j),(2.1333138966420027+4.9781306457010795e-22j),(2.8220077549908904+1.5227973641487608e-21j),(2.001423159637838+3.877392652112381e-23j),(2.1410450504225755+4.920458665129357e-22j),0.09953446449932979
I048,50,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.9572472284362745-3.816526689553854e-20j),(2.424203495456448-2.9289948502619864e-22j),(1.690140750965442-1.555185500835215e-20j),(1.8387001923519328-3.8358859470618624e-20j),(4.513151592364562-7.332753380566038e-20j),(8.128517366799567-8.591082844799123e-20j),(3.559765038890472-9.362816370807946e-20j),(2.677545000154991+2.0987289709134776e-20j),(2.44260760572179+5.798467543012911e-20j),(8.950350674069622-1.4886232287601772e-19j),0.13368226606071085
I049,51,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.950516492712263-1.6653345369377348e-16j),(0.9800946299305502-5.551115123125783e-17j),(-0.7877724388130147+1.1102230246251565e-16j),(1.5365631344089472+0j),(1.301893632428993+2.6164535067177545e-17j),(0.734529106054933-1.5581930224296635e-16j),(1.9385877271230672-3.210587696632613e-16j),(1.2984791517094934-3.2927370180703337e-16j),(1.3686088512122625+6.256726376101807e-17j),(1.0717502565898518-2.5644835060646163e-16j),0.1384590475642649
