name	status	vol	deg	disc	sig	field_at	reason
m004(17,11)	UNRESOLVED	2.010238141255279	None	None	None	None	no ITF up to deg 60 (field degree > 60)
m004(18,11)	NON-ARITH	2.010619292962218	22	-365314790317605334326334864323583879	(12, 5)	(1000, 30)	r2=5 (>1 complex place)
m004(19,11)	UNRESOLVED	2.011007005600211	None	None	None	None	no ITF up to deg 60 (field degree > 60)
m004(20,11)	NON-ARITH	2.0113996571741466	21	-58192245519757588883166622962511	(11, 5)	(1000, 30)	r2=5 (>1 complex place)
m004(21,11)	UNRESOLVED	2.011795713938867	None	None	None	None	no ITF up to deg 60 (field degree > 60)
m004(23,11)	UNRESOLVED	2.012592394620993	None	None	None	None	no ITF up to deg 60 (field degree > 60)
m004(24,11)	NON-ARITH	2.0129904524109588	21	-68934249808493821675717223520539	(11, 5)	(1000, 30)	r2=5 (>1 complex place)
m004(25,11)	UNRESOLVED	2.0133867882020184	None	None	None	None	no ITF up to deg 60 (field degree > 60)
m004(1,12)	NON-ARITH	2.0101833927249153	47	-1131790904662552828134784671121551133990454897258899435004573705085509230222538706825419087	(25, 11)	(4000, 60)	r2=11 (>1 complex place)
m004(5,12)	NON-ARITH	2.010444458210923	47	-1108836160507539741910088265481386963324957739323574852525914037508524582267436360744558839	(25, 11)	(4000, 60)	r2=11 (>1 complex place)
m004(7,12)	NON-ARITH	2.010699072957464	47	-1087028283382387922848537356748200805729058497477905621421245329440895314943837639884415867	(25, 11)	(4000, 60)	r2=11 (>1 complex place)
m004(11,12)	UNRESOLVED	2.011426329159848	None	None	None	None	no ITF up to deg 60 (field degree > 60)
m004(13,12)	UNRESOLVED	2.0118826542730575	None	None	None	None	no ITF up to deg 60 (field degree > 60)
m004(17,12)	UNRESOLVED	2.0129340469475276	None	None	None	None	no ITF up to deg 60 (field degree > 60)
m004(19,12)	UNRESOLVED	2.013509833368271	None	None	None	None	no ITF up to deg 60 (field degree > 60)
m004(23,12)	UNRESOLVED	2.014716076683199	None	None	None	None	no ITF up to deg 60 (field degree > 60)
m004(25,12)	UNRESOLVED	2.015330483255489	None	None	None	None	no ITF up to deg 60 (field degree > 60)
