theta_star,baseline_delta_E,seesaw_delta_E,constraint_hits
2.18,1.1648821444176088e-05,0.38104367104412473,15190
2.356842105263158,1.1648821444176088e-05,0.5897402743895324,19034
2.533684210526316,1.1648821444176088e-05,0.23162842133568295,17010
2.710526315789474,1.1648821444176088e-05,0.005780632644571848,33414
2.887368421052632,1.1648821444176088e-05,3.151198096167096e-05,125097
3.0642105263157897,1.1648821444176088e-05,1.1654480161167602e-05,125250
3.241052631578947,1.1648821444176088e-05,1.1690295973351694e-05,125250
3.417894736842105,1.1648821444176088e-05,8.456645632123894e-05,118229
3.594736842105263,1.1648821444176088e-05,0.018298658095811438,32461
3.771578947368421,1.1648821444176088e-05,0.35065146433737304,16114
3.948421052631579,1.1648821444176088e-05,0.025001805995650273,15689
4.125263157894737,1.1648821444176088e-05,-0.05874509710311249,15395
4.302105263157895,1.1648821444176088e-05,-0.0008639794984199867,39776
4.478947368421053,1.1648821444176088e-05,4.4671149775837166e-05,125250
4.6557894736842105,1.1648821444176088e-05,1.1649273999925908e-05,125250
4.832631578947368,1.1648821444176088e-05,1.183490176230248e-05,125250
5.009473684210526,1.1648821444176088e-05,0.00015788264139483116,99144
5.186315789473684,1.1648821444176088e-05,-0.009501284470429638,24532
5.363157894736842,1.1648821444176088e-05,0.37602439197282145,19276
5.54,1.1648821444176088e-05,0.7752762839394252,19269
