theta_star,baseline_final_A,seesaw_final_A,baseline_delta_E,seesaw_delta_E,constraint_hits
2.18,0.009999999999999948,0.009999999999999993,1.1648821444176088e-05,1.1803822885118886e-05,125250
2.356842105263158,0.009999999999999948,0.010000000000000016,1.1648821444176088e-05,1.1907565373191209e-05,125250
2.533684210526316,0.009999999999999948,0.00999999999999995,1.1648821444176088e-05,1.1802632344053848e-05,125250
2.710526315789474,0.009999999999999948,0.009999999999999962,1.1648821444176088e-05,1.1677051016008994e-05,125250
2.887368421052632,0.009999999999999948,0.010000000000000035,1.1648821444176088e-05,1.1649608088044189e-05,125250
3.0642105263157897,0.009999999999999948,0.010000000000000077,1.1648821444176088e-05,1.1648802098824379e-05,125250
3.241052631578947,0.009999999999999948,0.010000000000000033,1.1648821444176088e-05,1.1648802611497616e-05,125250
3.417894736842105,0.009999999999999948,0.009999999999999948,1.1648821444176088e-05,1.165027457237372e-05,125250
3.594736842105263,0.009999999999999948,0.009999999999999976,1.1648821444176088e-05,1.168655772245189e-05,125250
3.771578947368421,0.009999999999999948,0.009999999999999938,1.1648821444176088e-05,1.1822791850111397e-05,125250
3.948421052631579,0.009999999999999948,0.010000000000000002,1.1648821444176088e-05,1.1905648504378225e-05,125250
4.125263157894737,0.009999999999999948,0.010000000000000031,1.1648821444176088e-05,1.1783591545182215e-05,125250
4.302105263157895,0.009999999999999948,0.010000000000000061,1.1648821444176088e-05,1.1669777795594166e-05,125250
4.478947368421053,0.009999999999999948,0.01000000000000002,1.1648821444176088e-05,1.1649232456847902e-05,125250
4.6557894736842105,0.009999999999999948,0.010000000000000078,1.1648821444176088e-05,1.1648802024148003e-05,125250
4.832631578947368,0.009999999999999948,0.01000000000000001,1.1648821444176088e-05,1.164880466309609e-05,125250
5.009473684210526,0.009999999999999948,0.010000000000000054,1.1648821444176088e-05,1.165126712245057e-05,125250
5.186315789473684,0.009999999999999948,0.010000000000000009,1.1648821444176088e-05,1.169728613132498e-05,125250
5.363157894736842,0.009999999999999948,0.010000000000000035,1.1648821444176088e-05,1.1841119224705043e-05,125250
5.54,0.009999999999999948,0.01000000000000002,1.1648821444176088e-05,1.1900196411864655e-05,125250
