theta_star,baseline_final_A,seesaw_final_A,baseline_delta_E,seesaw_delta_E,constraint_hits
2.18,0.009999999999999998,0.009999999999999998,0.0,3.959329338538845e-08,125250
2.5533333333333337,0.010000000000000004,0.01,0.0,3.47220235481585e-08,125250
2.9266666666666667,0.01,0.009999999999999998,0.0,5.982040587285638e-11,125250
3.3,0.01,0.01,0.0,5.835591383987476e-12,125250
3.6733333333333333,0.01,0.01,0.0,2.240050635109732e-08,125250
4.046666666666667,0.01,0.01,0.0,5.2176208914902915e-08,125250
4.42,0.01,0.01,0.0,5.669718121077275e-10,125250
4.793333333333333,0.010000000000000002,0.009999999999999998,0.0,2.995727568697459e-14,125250
5.166666666666666,0.01,0.010000000000000002,0.0,9.837507124811622e-09,125250
5.54,0.009999999999999998,0.01,0.0,6.390904408895877e-08,125250
