first_charge,second_charge,total_charge,factor_length,background,split_configuration,fused_configuration,first_component,second_component,fused_component
3,9,1,41,ABaAabAABabABaAabAABaABabABaAabAABabABabA,ABabABabAABaABabABabABaAabAABaABabABaAabA,ABaABabABabABaAabAABaABabABaAabAABabABabA,"{""start"": 3, ""end"": 28, ""charge"": 3}","{""start"": 30, ""end"": 37, ""charge"": 9}","{""start"": 4, ""end"": 6, ""charge"": 1}"
10,3,2,28,ABaABabABaAabAABaABabABaAabA,ABaAabAABabABabAABaABabABabA,ABabAABaABabABabABaAabAABabA,"{""start"": 4, ""end"": 6, ""charge"": 10}","{""start"": 10, ""end"": 24, ""charge"": 3}","{""start"": 3, ""end"": 24, ""charge"": 2}"
