theta,A0,A_floor,bound
0.328271889,3.292381827e-02,3.292381827e-02,0
0.331339850,3.307279363e-02,3.307279363e-02,0
0.334407812,3.322147053e-02,3.322147053e-02,0
0.337475773,3.336984569e-02,3.336984569e-02,0
0.340543735,3.351791583e-02,3.351791583e-02,0
0.343611696,3.366567770e-02,3.366567770e-02,0
0.346679658,3.381312811e-02,3.381312811e-02,0
0.349747620,3.396026388e-02,3.396026388e-02,0
0.352815581,3.410708187e-02,3.410708187e-02,0
0.355883543,3.425357895e-02,3.425357895e-02,0
0.358951504,3.439975205e-02,3.439975205e-02,0
0.362019466,3.454559810e-02,3.454559810e-02,0
0.365087428,3.469111409e-02,3.469111409e-02,0
0.368155389,3.483629701e-02,3.483629701e-02,0
0.371223351,3.498114390e-02,3.498114390e-02,0
0.374291312,3.512565182e-02,3.512565182e-02,0
0.377359274,3.526981785e-02,3.526981785e-02,0
0.380427235,3.541363911e-02,3.541363911e-02,0
0.383495197,3.555711273e-02,3.555711273e-02,0
0.386563159,3.570023590e-02,3.570023590e-02,0
0.389631120,3.584300580e-02,3.584300580e-02,0
0.392699082,3.598541966e-02,3.598541966e-02,0
0.395767043,3.612747472e-02,3.612747472e-02,0
0.398835005,3.626916826e-02,3.626916826e-02,0
0.401902966,3.641049758e-02,3.641049758e-02,0
0.404970928,3.655146000e-02,3.655146000e-02,0
0.408038890,3.669205288e-02,3.669205288e-02,0
0.411106851,3.683227359e-02,3.683227359e-02,0
0.414174813,3.697211953e-02,3.697211953e-02,0
0.417242774,3.711158812e-02,3.711158812e-02,0
0.420310736,3.725067682e-02,3.725067682e-02,0
0.423378697,3.738938310e-02,3.738938310e-02,0
0.426446659,3.752770446e-02,3.752770446e-02,0
0.429514621,3.766563841e-02,3.766563841e-02,0
0.432582582,3.780318251e-02,3.780318251e-02,0
0.435650544,3.794033432e-02,3.794033432e-02,0
0.438718505,3.807709143e-02,3.807709143e-02,0
0.441786467,3.821345146e-02,3.821345146e-02,0
0.444854428,3.834941205e-02,3.834941205e-02,0
0.447922390,3.848497086e-02,3.848497086e-02,0
0.450990352,3.862012557e-02,3.862012557e-02,0
0.454058313,3.875487389e-02,3.875487389e-02,0
0.457126275,3.888921354e-02,3.888921354e-02,0
0.460194236,3.902314228e-02,3.902314228e-02,0
0.463262198,3.915665789e-02,3.915665789e-02,0
0.466330160,3.928975815e-02,3.928975815e-02,0
0.469398121,3.942244088e-02,3.942244088e-02,0
0.472466083,3.955470393e-02,3.955470393e-02,0
0.475534044,3.968654515e-02,3.968654515e-02,0
0.478602006,3.981796243e-02,3.981796243e-02,0
0.481669967,3.994895366e-02,3.994895366e-02,0
0.484737929,4.007951679e-02,4.007951679e-02,0
0.487805891,4.020964975e-02,4.020964975e-02,0
0.490873852,4.033935051e-02,4.033935051e-02,0
0.493941814,4.046861705e-02,4.046861705e-02,0
0.497009775,4.059744740e-02,4.059744740e-02,0
0.500077737,4.072583958e-02,4.072583958e-02,0
0.503145698,4.085379164e-02,4.085379164e-02,0
0.506213660,4.098130166e-02,4.098130166e-02,0
0.509281622,4.110836773e-02,4.110836773e-02,0
0.512349583,4.123498796e-02,4.123498796e-02,0
0.515417545,4.136116049e-02,4.136116049e-02,0
0.518485506,4.148688348e-02,4.148688348e-02,0
0.521553468,4.161215509e-02,4.161215509e-02,0
0.524621429,4.173697353e-02,4.173697353e-02,0
0.527689391,4.186133701e-02,4.186133701e-02,0
0.530757353,4.198524377e-02,4.198524377e-02,0
0.533825314,4.210869207e-02,4.210869207e-02,0
0.536893276,4.223168018e-02,4.223168018e-02,0
0.539961237,4.235420640e-02,4.235420640e-02,0
0.543029199,4.247626905e-02,4.247626905e-02,0
0.546097160,4.259786646e-02,4.259786646e-02,0
0.549165122,4.271899699e-02,4.271899699e-02,0
0.552233084,4.283965903e-02,4.283965903e-02,0
0.555301045,4.295985096e-02,4.295985096e-02,0
0.558369007,4.307957120e-02,4.307957120e-02,0
0.561436968,4.319881819e-02,4.319881819e-02,0
0.564504930,4.331759038e-02,4.331759038e-02,0
0.567572892,4.343588626e-02,4.343588626e-02,0
0.570640853,4.355370432e-02,4.355370432e-02,0
0.573708815,4.367104306e-02,4.367104306e-02,0
0.576776776,4.378790104e-02,4.378790104e-02,0
0.579844738,4.390427680e-02,4.390427680e-02,0
0.582912699,4.402016891e-02,4.402016891e-02,0
0.585980661,4.413557597e-02,4.413557597e-02,0
0.589048623,4.425049660e-02,4.425049660e-02,0
0.592116584,4.436492941e-02,4.436492941e-02,0
0.595184546,4.447887308e-02,4.447887308e-02,0
0.598252507,4.459232627e-02,4.459232627e-02,0
0.601320469,4.470528766e-02,4.470528766e-02,0
0.604388430,4.481775597e-02,4.481775597e-02,0
0.607456392,4.492972993e-02,4.492972993e-02,0
0.610524354,4.504120829e-02,4.504120829e-02,0
0.613592315,4.515218981e-02,4.515218981e-02,0
0.616660277,4.526267328e-02,4.526267328e-02,0
0.619728238,4.537265751e-02,4.537265751e-02,0
0.622796200,4.548214133e-02,4.548214133e-02,0
0.625864161,4.559112357e-02,4.559112357e-02,0
0.628932123,4.569960311e-02,4.569960311e-02,0
0.632000085,4.580757883e-02,4.580757883e-02,0
0.635068046,4.591504962e-02,4.591504962e-02,0
0.638136008,4.602201442e-02,4.602201442e-02,0
0.641203969,4.612847215e-02,4.612847215e-02,0
0.644271931,4.623442179e-02,4.623442179e-02,0
0.647339892,4.633986232e-02,4.633986232e-02,0
0.650407854,4.644479272e-02,4.644479272e-02,0
0.653475816,4.654921201e-02,4.654921201e-02,0
0.656543777,4.665311924e-02,4.665311924e-02,0
0.659611739,4.675651346e-02,4.675651346e-02,0
0.662679700,4.685939375e-02,4.685939375e-02,0
0.665747662,4.696175919e-02,4.696175919e-02,0
0.668815624,4.706360890e-02,4.706360890e-02,0
0.671883585,4.716494201e-02,4.716494201e-02,0
0.674951547,4.726575768e-02,4.726575768e-02,0
0.678019508,4.736605507e-02,4.736605507e-02,0
0.681087470,4.746583338e-02,4.746583338e-02,0
0.684155431,4.756509180e-02,4.756509180e-02,0
0.687223393,4.766382957e-02,4.766382957e-02,0
0.690291355,4.776204594e-02,4.776204594e-02,0
0.693359316,4.785974016e-02,4.785974016e-02,0
0.696427278,4.795691153e-02,4.795691153e-02,0
0.699495239,4.805355935e-02,4.805355935e-02,0
0.702563201,4.814968294e-02,4.814968294e-02,0
0.705631162,4.824528163e-02,4.824528163e-02,0
0.708699124,4.834035480e-02,4.834035480e-02,0
0.711767086,4.843490182e-02,4.843490182e-02,0
0.714835047,4.852892209e-02,4.852892209e-02,0
0.717903009,4.862241502e-02,4.862241502e-02,0
0.720970970,4.871538006e-02,4.871538006e-02,0
0.724038932,4.880781666e-02,4.880781666e-02,0
0.727106893,4.889972428e-02,4.889972428e-02,0
0.730174855,4.899110244e-02,4.899110244e-02,0
0.733242817,4.908195063e-02,4.908195063e-02,0
0.736310778,4.917226839e-02,4.917226839e-02,0
0.739378740,4.926205528e-02,4.926205528e-02,0
0.742446701,4.935131085e-02,4.935131085e-02,0
0.745514663,4.944003471e-02,4.944003471e-02,0
0.748582624,4.952822644e-02,4.952822644e-02,0
0.751650586,4.961588570e-02,4.961588570e-02,0
0.754718548,4.970301211e-02,4.970301211e-02,0
0.757786509,4.978960534e-02,4.978960534e-02,0
0.760854471,4.987566508e-02,4.987566508e-02,0
0.763922432,4.996119103e-02,4.996119103e-02,0
0.766990394,5.004618290e-02,5.004618290e-02,0
0.770058356,5.013064045e-02,5.013064045e-02,0
0.773126317,5.021456343e-02,5.021456343e-02,0
0.776194279,5.029795162e-02,5.029795162e-02,0
0.779262240,5.038080481e-02,5.038080481e-02,0
0.782330202,5.046312283e-02,5.046312283e-02,0
0.785398163,5.054490550e-02,5.054490550e-02,0
0.788466125,5.062615269e-02,5.062615269e-02,0
0.791534087,5.070686427e-02,5.070686427e-02,0
0.794602048,5.078704012e-02,5.078704012e-02,0
0.797670010,5.086668016e-02,5.086668016e-02,0
0.800737971,5.094578432e-02,5.094578432e-02,0
0.803805933,5.102435256e-02,5.102435256e-02,0
0.806873894,5.110238483e-02,5.110238483e-02,0
0.809941856,5.117988113e-02,5.117988113e-02,0
0.813009818,5.125684146e-02,5.125684146e-02,0
0.816077779,5.133326585e-02,5.133326585e-02,0
0.819145741,5.140915434e-02,5.140915434e-02,0
0.822213702,5.148450700e-02,5.148450700e-02,0
0.825281664,5.155932391e-02,5.155932391e-02,0
0.828349625,5.163360517e-02,5.163360517e-02,0
0.831417587,5.170735089e-02,5.170735089e-02,0
0.834485549,5.178056123e-02,5.178056123e-02,0
0.837553510,5.185323634e-02,5.185323634e-02,0
0.840621472,5.192537638e-02,5.192537638e-02,0
0.843689433,5.199698158e-02,5.199698158e-02,0
0.846757395,5.206805212e-02,5.206805212e-02,0
0.849825356,5.213858826e-02,5.213858826e-02,0
0.852893318,5.220859025e-02,5.220859025e-02,0
0.855961280,5.227805834e-02,5.227805834e-02,0
0.859029241,5.234699285e-02,5.234699285e-02,0
0.862097203,5.241539407e-02,5.241539407e-02,0
0.865165164,5.248326234e-02,5.248326234e-02,0
0.868233126,5.255059800e-02,5.255059800e-02,0
0.871301088,5.261740143e-02,5.261740143e-02,0
0.874369049,5.268367300e-02,5.268367300e-02,0
0.877437011,5.274941312e-02,5.274941312e-02,0
0.880504972,5.281462221e-02,5.281462221e-02,0
0.883572934,5.287930072e-02,5.287930072e-02,0
0.886640895,5.294344911e-02,5.294344911e-02,0
0.889708857,5.300706786e-02,5.300706786e-02,0
0.892776819,5.307015746e-02,5.307015746e-02,0
0.895844780,5.313271844e-02,5.313271844e-02,0
0.898912742,5.319475133e-02,5.319475133e-02,0
0.901980703,5.325625669e-02,5.325625669e-02,0
0.905048665,5.331723509e-02,5.331723509e-02,0
0.908116626,5.337768712e-02,5.337768712e-02,0
0.911184588,5.343761340e-02,5.343761340e-02,0
0.914252550,5.349701456e-02,5.349701456e-02,0
0.917320511,5.355589125e-02,5.355589125e-02,0
0.920388473,5.361424414e-02,5.361424414e-02,0
0.923456434,5.367207390e-02,5.367207390e-02,0
0.926524396,5.372938126e-02,5.372938126e-02,0
0.929592357,5.378616693e-02,5.378616693e-02,0
0.932660319,5.384243165e-02,5.384243165e-02,0
0.935728281,5.389817620e-02,5.389817620e-02,0
0.938796242,5.395340135e-02,5.395340135e-02,0
0.941864204,5.400810789e-02,5.400810789e-02,0
0.944932165,5.406229666e-02,5.406229666e-02,0
0.948000127,5.411596848e-02,5.411596848e-02,0
0.951068088,5.416912420e-02,5.416912420e-02,0
0.954136050,5.422176472e-02,5.422176472e-02,0
0.957204012,5.427389091e-02,5.427389091e-02,0
0.960271973,5.432550369e-02,5.432550369e-02,0
0.963339935,5.437660398e-02,5.437660398e-02,0
0.966407896,5.442719275e-02,5.442719275e-02,0
0.969475858,5.447727094e-02,5.447727094e-02,0
0.972543820,5.452683956e-02,5.452683956e-02,0
0.975611781,5.457589960e-02,5.457589960e-02,0
0.978679743,5.462445208e-02,5.462445208e-02,0
0.981747704,5.467249805e-02,5.467249805e-02,0
0.984815666,5.472003856e-02,5.472003856e-02,0
0.987883627,5.476707470e-02,5.476707470e-02,0
0.990951589,5.481360755e-02,5.481360755e-02,0
0.994019551,5.485963824e-02,5.485963824e-02,0
0.997087512,5.490516789e-02,5.490516789e-02,0
1.000155474,5.495019766e-02,5.495019766e-02,0
1.003223435,5.499472871e-02,5.499472871e-02,0
1.006291397,5.503876224e-02,5.503876224e-02,0
1.009359358,5.508229944e-02,5.508229944e-02,0
1.012427320,5.512534155e-02,5.512534155e-02,0
1.015495282,5.516788980e-02,5.516788980e-02,0
1.018563243,5.520994545e-02,5.520994545e-02,0
1.021631205,5.525150978e-02,5.525150978e-02,0
1.024699166,5.529258410e-02,5.529258410e-02,0
1.027767128,5.533316970e-02,5.533316970e-02,0
1.030835089,5.537326793e-02,5.537326793e-02,0
1.033903051,5.541288013e-02,5.541288013e-02,0
1.036971013,5.545200768e-02,5.545200768e-02,0
1.040038974,5.549065195e-02,5.549065195e-02,0
1.043106936,5.552881436e-02,5.552881436e-02,0
1.046174897,5.556649632e-02,5.556649632e-02,0
1.049242859,5.560369927e-02,5.560369927e-02,0
1.052310820,5.564042467e-02,5.564042467e-02,0
1.055378782,5.567667400e-02,5.567667400e-02,0
1.058446744,5.571244874e-02,5.571244874e-02,0
1.061514705,5.574775042e-02,5.574775042e-02,0
1.064582667,5.578258054e-02,5.578258054e-02,0
1.067650628,5.581694067e-02,5.581694067e-02,0
1.070718590,5.585083236e-02,5.585083236e-02,0
1.073786552,5.588425719e-02,5.588425719e-02,0
1.076854513,5.591721677e-02,5.591721677e-02,0
1.079922475,5.594971270e-02,5.594971270e-02,0
1.082990436,5.598174661e-02,5.598174661e-02,0
1.086058398,5.601332016e-02,5.601332016e-02,0
1.089126359,5.604443502e-02,5.604443502e-02,0
1.092194321,5.607509286e-02,5.607509286e-02,0
1.095262283,5.610529540e-02,5.610529540e-02,0
1.098330244,5.613504433e-02,5.613504433e-02,0
1.101398206,5.616434141e-02,5.616434141e-02,0
1.104466167,5.619318839e-02,5.619318839e-02,0
1.107534129,5.622158702e-02,5.622158702e-02,0
1.110602090,5.624953910e-02,5.624953910e-02,0
1.113670052,5.627704643e-02,5.627704643e-02,0
1.116738014,5.630411083e-02,5.630411083e-02,0
1.119805975,5.633073414e-02,5.633073414e-02,0
1.122873937,5.635691820e-02,5.635691820e-02,0
1.125941898,5.638266489e-02,5.638266489e-02,0
1.129009860,5.640797609e-02,5.640797609e-02,0
1.132077821,5.643285370e-02,5.643285370e-02,0
1.135145783,5.645729965e-02,5.645729965e-02,0
1.138213745,5.648131586e-02,5.648131586e-02,0
1.141281706,5.650490429e-02,5.650490429e-02,0
1.144349668,5.652806690e-02,5.652806690e-02,0
1.147417629,5.655080569e-02,5.655080569e-02,0
1.150485591,5.657312264e-02,5.657312264e-02,0
1.153553552,5.659501977e-02,5.659501977e-02,0
1.156621514,5.661649911e-02,5.661649911e-02,0
1.159689476,5.663756272e-02,5.663756272e-02,0
1.162757437,5.665821264e-02,5.665821264e-02,0
1.165825399,5.667845097e-02,5.667845097e-02,0
1.168893360,5.669827979e-02,5.669827979e-02,0
1.171961322,5.671770121e-02,5.671770121e-02,0
1.175029284,5.673671737e-02,5.673671737e-02,0
1.178097245,5.675533039e-02,5.675533039e-02,0
1.181165207,5.677354243e-02,5.677354243e-02,0
1.184233168,5.679135568e-02,5.679135568e-02,0
1.187301130,5.680877230e-02,5.680877230e-02,0
1.190369091,5.682579450e-02,5.682579450e-02,0
1.193437053,5.684242450e-02,5.684242450e-02,0
1.196505015,5.685866453e-02,5.685866453e-02,0
1.199572976,5.687451683e-02,5.687451683e-02,0
1.202640938,5.688998366e-02,5.688998366e-02,0
1.205708899,5.690506731e-02,5.690506731e-02,0
1.208776861,5.691977005e-02,5.691977005e-02,0
1.211844822,5.693409419e-02,5.693409419e-02,0
1.214912784,5.694804205e-02,5.694804205e-02,0
1.217980746,5.696161596e-02,5.696161596e-02,0
1.221048707,5.697481826e-02,5.697481826e-02,0
1.224116669,5.698765133e-02,5.698765133e-02,0
1.227184630,5.700011753e-02,5.700011753e-02,0
1.230252592,5.701221924e-02,5.701221924e-02,0
1.233320553,5.702395888e-02,5.702395888e-02,0
1.236388515,5.703533886e-02,5.703533886e-02,0
1.239456477,5.704636160e-02,5.704636160e-02,0
1.242524438,5.705702955e-02,5.705702955e-02,0
1.245592400,5.706734517e-02,5.706734517e-02,0
1.248660361,5.707731091e-02,5.707731091e-02,0
1.251728323,5.708692928e-02,5.708692928e-02,0
1.254796284,5.709620275e-02,5.709620275e-02,0
1.257864246,5.710513384e-02,5.710513384e-02,0
1.260932208,5.711372507e-02,5.711372507e-02,0
1.264000169,5.712197897e-02,5.712197897e-02,0
1.267068131,5.712989809e-02,5.712989809e-02,0
1.270136092,5.713748498e-02,5.713748498e-02,0
1.273204054,5.714474222e-02,5.714474222e-02,0
1.276272016,5.715167238e-02,5.715167238e-02,0
1.279339977,5.715827807e-02,5.715827807e-02,0
1.282407939,5.716456189e-02,5.716456189e-02,0
1.285475900,5.717052646e-02,5.717052646e-02,0
1.288543862,5.717617440e-02,5.717617440e-02,0
1.291611823,5.718150836e-02,5.718150836e-02,0
1.294679785,5.718653099e-02,5.718653099e-02,0
1.297747747,5.719124496e-02,5.719124496e-02,0
1.300815708,5.719565293e-02,5.719565293e-02,0
1.303883670,5.719975761e-02,5.719975761e-02,0
1.306951631,5.720356167e-02,5.720356167e-02,0
