theta,A0,A,bound
0.0,0.01626140550560921,0.025097306314832618,1
0.0030679615757712823,0.01640986318551133,0.025097306314832618,1
0.006135923151542565,0.016558874938952584,0.025097306314832618,1
0.009203884727313847,0.016708420881886718,0.025097306314832618,1
0.01227184630308513,0.0168584816572789,0.025097306314832618,1
0.015339807878856412,0.017009038418333917,0.025097306314832618,1
0.018407769454627694,0.017160072812169528,0.025097306314832618,1
0.021475731030398976,0.01731156696393803,0.025097306314832618,1
0.02454369260617026,0.01746350346139545,0.025097306314832618,1
0.02761165418194154,0.017615865339917304,0.025097306314832618,1
0.030679615757712823,0.017768636067957422,0.025097306314832618,1
0.0337475773334841,0.017921799532946325,0.025097306314832618,1
0.03681553890925539,0.018075340027622153,0.025097306314832618,1
0.039883500485026674,0.01822924223678953,0.025097306314832618,1
0.04295146206079795,0.018383491224498012,0.025097306314832618,1
0.04601942363656923,0.018538072421632263,0.025097306314832618,1
0.04908738521234052,0.01869297161390653,0.025097306314832618,1
0.0521553467881118,0.01884817493025349,0.025097306314832618,1
0.05522330836388308,0.01900366883159849,0.025097306314832618,1
0.05829126993965436,0.019159440100010656,0.025097306314832618,1
0.06135923151542565,0.01931547582821952,0.025097306314832618,1
0.06442719309119693,0.019471763409488734,0.025097306314832618,1
0.0674951546669682,0.019628290527836913,0.025097306314832618,1
0.07056311624273949,0.019785045148594634,0.025097306314832618,1
0.07363107781851078,0.019942015509288653,0.025097306314832618,1
0.07669903939428206,0.020099190110843684,0.025097306314832618,1
0.07976700097005335,0.020256557709090663,0.025097306314832618,1
0.08283496254582462,0.020414107306573722,0.025097306314832618,1
0.0859029241215959,0.020571828144644578,0.025097306314832618,1
0.08897088569736719,0.02072970969583627,0.025097306314832618,1
0.09203884727313846,0.02088774165650652,0.025097306314832618,1
0.09510680884890975,0.02104591393974162,0.025097306314832618,1
0.09817477042468103,0.021204216668512302,0.025097306314832618,1
0.10124273200045232,0.021362640169073317,0.025097306314832618,1
0.1043106935762236,0.021521174964597385,0.025097306314832618,1
0.10737865515199488,0.021679811769036272,0.025097306314832618,1
0.11044661672776616,0.021838541481200947,0.025097306314832618,1
0.11351457830353745,0.021997355179052304,0.025097306314832618,1
0.11658253987930872,0.02215624411419625,0.025097306314832618,1
0.11965050145508001,0.02231519970657479,0.025097306314832618,1
0.1227184630308513,0.022474213539346526,0.025097306314832618,1
0.12578642460662257,0.022633277353950015,0.025097306314832618,1
0.12885438618239387,0.022792383045342687,0.025097306314832618,1
0.13192234775816514,0.022951522657409577,0.025097306314832618,1
0.1349903093339364,0.023110688378535655,0.025097306314832618,1
0.1380582709097077,0.023269872537335253,0.025097306314832618,1
0.14112623248547898,0.023429067598533335,0.025097306314832618,1
0.14419419406125028,0.02358826615899312,0.025097306314832618,1
0.14726215563702155,0.02374746094388412,0.025097306314832618,1
0.15033011721279282,0.023906644802986047,0.025097306314832618,1
0.15339807878856412,0.024065810707123256,0.025097306314832618,1
0.1564660403643354,0.024224951744724943,0.025097306314832618,1
0.1595340019401067,0.024384061118506675,0.025097306314832618,1
0.16260196351587797,0.024543132142268345,0.025097306314832618,1
0.16566992509164924,0.024702158237804653,0.025097306314832618,1
0.16873788666742054,0.024861132931924174,0.025097306314832618,1
0.1718058482431918,0.02502004985357203,0.025097306314832618,1
0.17487380981896308,0.02517890273105348,0.02517890273105348,0
0.17794177139473438,0.02533768538935424,0.02533768538935424,0
0.18100973297050565,0.025496391747553453,0.025496391747553453,0
0.18407769454627693,0.025655015816327082,0.025655015816327082,0
0.18714565612204823,0.025813551695537312,0.025813551695537312,0
0.1902136176978195,0.025971993571905206,0.025971993571905206,0
0.1932815792735908,0.02613033571676391,0.02613033571676391,0
0.19634954084936207,0.026288572483888707,0.026288572483888707,0
0.19941750242513334,0.026446698307401803,0.026446698307401803,0
0.20248546400090464,0.026604707699748896,0.026604707699748896,0
0.2055534255766759,0.026762595249744663,0.026762595249744663,0
0.2086213871524472,0.026920355620684837,0.026920355620684837,0
0.21168934872821848,0.02707798354852299,0.02707798354852299,0
0.21475731030398976,0.027235473840108226,0.027235473840108226,0
0.21782527187976106,0.02739282137148363,0.02739282137148363,0
0.22089323345553233,0.027550021086241275,0.027550021086241275,0
0.2239611950313036,0.027707067993933087,0.027707067993933087,0
0.2270291566070749,0.02786395716853524,0.02786395716853524,0
0.23009711818284617,0.028020683746963586,0.028020683746963586,0
0.23316507975861744,0.028177242927639116,0.028177242927639116,0
0.23623304133438874,0.028333629969101368,0.028333629969101368,0
0.23930100291016002,0.02848984018866775,0.02848984018866775,0
0.24236896448593132,0.02864586896113749,0.02864586896113749,0
0.2454369260617026,0.02880171171753894,0.02880171171753894,0
0.24850488763747386,0.028957363943917458,0.028957363943917458,0
0.25157284921324513,0.02911282118016439,0.02911282118016439,0
0.25464081078901646,0.02926807901888385,0.02926807901888385,0
0.25770877236478773,0.02942313310429675,0.02942313310429675,0
0.260776733940559,0.02957797913118147,0.02957797913118147,0
