coupling,N,label_name,target_label,gap_index,measured_label,label_error,gap_width,N_times_label_error
C1,893,f_b,0.16811738900752848,150,0.167973124300112,0.00014426470741649156,0.11489652061206934,0.12882838372292696
C1,893,f_B,0.2138486222425766,191,0.21388577827547592,3.71560328993048e-05,0.1202887384504403,0.03318033737907919
C1,893,f_a,0.272019649514069,243,0.2721164613661814,9.681185211241061e-05,0.27934839149960344,0.08645298393638268
C1,893,f_A,0.3460143392358259,309,0.3460246360582307,1.029682240477614e-05,0.08631213884881506,0.009195062407465093
C1,893,f_a+f_b,0.44013703852159747,393,0.4400895856662934,4.745285530405319e-05,0.21777345347774593,0.042375399786519496
C1,3283,f_b,0.16811738900752848,552,0.16813889734998477,2.1508342456288965e-05,0.1148965183799624,0.07061188828399667
C1,3283,f_B,0.2138486222425766,702,0.2138288151081328,1.98071344438e-05,0.12028873844941401,0.0650268223789954
C1,3283,f_a,0.272019649514069,893,0.2720073103868413,1.2339127227700697e-05,0.2793482029980645,0.04050935468854139
C1,3283,f_A,0.3460143392358259,1136,0.3460249771550411,1.0637919215183977e-05,0.08631180149987205,0.034924288783449
C1,3283,f_a+f_b,0.44013703852159747,1445,0.44014620773682606,9.169215228588268e-06,0.2177733461981766,0.030102533595455283
C1,12069,f_b,0.16811738900752848,2029,0.16811666252382135,7.264837071363495e-07,0.1148965183799624,0.008767931861428602
C1,12069,f_B,0.2138486222425766,2581,0.21385367470378655,5.052461209936743e-06,0.12028873844667398,0.06097815434272655
C1,12069,f_a,0.272019649514069,3283,0.2720192228022206,4.267118484113652e-07,0.2793482029980646,0.005149985298476767
C1,12069,f_A,0.3460143392358259,4176,0.3460104399701715,3.899265654416784e-06,0.08631180149987183,0.04706023718315616
C1,12069,f_a+f_b,0.44013703852159747,5312,0.4401358853260419,1.1531955555477147e-06,0.21777334590198238,0.013917917159905369
C1,44368,f_b,0.16811738900752848,7459,0.16811666065632888,7.283511996025727e-07,0.1148965183799624,0.032315486023966944
C1,44368,f_B,0.2138486222425766,9488,0.2138478182473855,8.039951911176235e-07,0.12028873844667398,0.03567165863950672
C1,44368,f_a,0.272019649514069,12069,0.27202037504507753,7.255310085496625e-07,0.2793482029980646,0.032190359787331424
C1,44368,f_A,0.3460143392358259,15352,0.3460151460512081,8.068153821705337e-07,0.08631180149987183,0.03579678487614224
C1,44368,f_a+f_b,0.44013703852159747,19528,0.44013703570140644,2.820191025154628e-09,0.21777334590198252,0.00012512623540406054
C2,893,f_b,0.16811738900752848,150,0.167973124300112,0.00014426470741649156,0.025137222750445165,0.12882838372292696
C2,893,f_B,0.2138486222425766,191,0.21388577827547592,3.71560328993048e-05,0.05165839630611968,0.03318033737907919
C2,893,f_a,0.272019649514069,243,0.2721164613661814,9.681185211241061e-05,0.14305367087510945,0.08645298393638268
C2,893,f_A,0.3460143392358259,309,0.3460246360582307,1.029682240477614e-05,0.10481186715118929,0.009195062407465093
C2,893,f_a+f_b,0.44013703852159747,393,0.4400895856662934,4.745285530405319e-05,0.3581035645120885,0.042375399786519496
C2,3283,f_b,0.16811738900752848,552,0.16813889734998477,2.1508342456288965e-05,0.018978554529369696,0.07061188828399667
C2,3283,f_B,0.2138486222425766,702,0.2138288151081328,1.98071344438e-05,0.051651232010074155,0.0650268223789954
C2,3283,f_a,0.272019649514069,893,0.2720073103868413,1.2339127227700697e-05,0.11790747495626808,0.04050935468854139
C2,3283,f_A,0.3460143392358259,1136,0.3460249771550411,1.0637919215183977e-05,0.10480917449786342,0.034924288783449
C2,3283,f_a+f_b,0.44013703852159747,1445,0.44014620773682606,9.169215228588268e-06,0.35810356449899666,0.030102533595455283
C2,12069,f_b,0.16811738900752848,2029,0.16811666252382135,7.264837071363495e-07,0.025135612431234078,0.008767931861428602
C2,12069,f_B,0.2138486222425766,2581,0.21385367470378655,5.052461209936743e-06,0.05165123201007127,0.06097815434272655
C2,12069,f_a,0.272019649514069,3283,0.2720192228022206,4.267118484113652e-07,0.14305361911279801,0.005149985298476767
C2,12069,f_A,0.3460143392358259,4176,0.3460104399701715,3.899265654416784e-06,0.10480915325995821,0.04706023718315616
C2,12069,f_a+f_b,0.44013703852159747,5312,0.4401358853260419,1.1531955555477147e-06,0.35810356449899455,0.013917917159905369
C2,44368,f_b,0.16811738900752848,7459,0.16811666065632888,7.283511996025727e-07,0.018978554529369918,0.032315486023966944
C2,44368,f_B,0.2138486222425766,9488,0.2138478182473855,8.039951911176235e-07,0.0516512320100706,0.03567165863950672
C2,44368,f_a,0.272019649514069,12069,0.27202037504507753,7.255310085496625e-07,0.11790747495626819,0.032190359787331424
C2,44368,f_A,0.3460143392358259,15352,0.3460151460512081,8.068153821705337e-07,0.10480915325995799,0.03579678487614224
C2,44368,f_a+f_b,0.44013703852159747,19528,0.44013703570140644,2.820191025154628e-09,0.35810356449899444,0.00012512623540406054
