ic_index,psi0_real,psi0_imag,r0,ever_on_floor,floor_active_fraction,r_min,r_max,r_final,gamma,eps,h,n_steps
0,-0.7480425978200493,-1.6086019670940306,1.774025934616558,True,0.8225,0.04999999999999999,1.774025934616558,0.049999999999999996,1.0,0.05,0.01,2000
1,-0.08867381168028146,-0.3811651786575722,0.3913437597547314,True,0.898,0.049999999999999996,0.3913437597547314,0.049999999999999996,1.0,0.05,0.01,2000
2,0.14953286823168416,0.27770307637120434,0.3154030394711268,True,0.9085,0.05,0.3154030394711268,0.05,1.0,0.05,0.01,2000
3,-0.15798609597758861,-0.62257002180296,0.6423029180768042,True,0.873,0.05,0.6423029180768042,0.05,1.0,0.05,0.01,2000
4,-0.647564589134747,-0.022250335801309102,0.6479467374287217,True,0.873,0.049999999999999996,0.6479467374287217,0.05000000000000001,1.0,0.05,0.01,2000
5,-1.2420492964062948,-1.225524306872586,1.7448771536812855,True,0.8235,0.05,1.7448771536812855,0.05,1.0,0.05,0.01,2000
6,1.810622462942317,0.3296256820096337,1.840382241153076,True,0.821,0.05,1.840382241153076,0.05,1.0,0.05,0.01,2000
7,0.017357708695526945,-1.1883480868101026,1.188474848482874,True,0.8425,0.04999999999999999,1.188474848482874,0.04999999999999999,1.0,0.05,0.01,2000
8,1.216656674125087,-0.45554245195693227,1.2991429437240738,True,0.838,0.049999999999999996,1.2991429437240738,0.049999999999999996,1.0,0.05,0.01,2000
9,0.09111038789849128,-0.4465594259971329,0.4557591729520124,True,0.8905,0.049999999999999996,0.4557591729520124,0.05,1.0,0.05,0.01,2000
10,-0.5564125015790496,0.5632293139912592,0.7917209938182266,True,0.863,0.049999999999999996,0.7917209938182266,0.05,1.0,0.05,0.01,2000
11,0.6946324798963752,-0.026571691089831734,0.6951405159349882,True,0.8695,0.049999999999999996,0.6951405159349882,0.05,1.0,0.05,0.01,2000
12,-0.15382719604629252,0.973902445110203,0.9859760538852332,True,0.852,0.049999999999999996,0.9859760538852332,0.049999999999999996,1.0,0.05,0.01,2000
13,1.6967096158550172,-0.6692642388412318,1.8239347965118198,True,0.8215,0.049999999999999996,1.8239347965118198,0.049999999999999996,1.0,0.05,0.01,2000
14,-0.30338295067141663,-1.1382406903154956,1.1779783885318063,True,0.843,0.05,1.1779783885318063,0.05,1.0,0.05,0.01,2000
15,-0.365048181831673,0.26262359536122143,0.449701376358873,True,0.891,0.049999999999999996,0.449701376358873,0.05,1.0,0.05,0.01,2000
16,0.45618630789217374,0.7189178857810765,0.8514392955485588,True,0.859,0.04999999999999999,0.8514392955485588,0.05,1.0,0.05,0.01,2000
17,-0.8994230753563295,0.3684797328775442,0.971976945212665,True,0.8525,0.049999999999999996,0.971976945212665,0.049999999999999996,1.0,0.05,0.01,2000
18,-0.6034795927932332,0.01903449114765171,0.6037797038416715,True,0.8765,0.05,0.6037797038416715,0.05,1.0,0.05,0.01,2000
