model,n_ics,frac_ever_on_floor,r0_min,r0_max,r0_mean,r_min_min,r_min_max,r_min_mean,r_max_min,r_max_max,r_max_mean,r_final_min,r_final_max,r_final_mean,floor_active_fraction_min,floor_active_fraction_max,floor_active_fraction_mean
no_drive,256,1.0,0.2026191975088642,1.9962674716650644,1.1091834218322363,0.0499999999999999,0.05,0.04999999999999995,0.2026191975088642,1.9962674716650644,1.1091834218322363,0.0499999999999999,0.05,0.049999999999999975,0.817,0.9305,0.8526015625000001
with_drive,256,0.19140625,0.2097737014316608,1.994662384107632,1.0619790689349875,0.0480025251900891,0.105065051958019,0.0841788816511882,0.2097737014316608,1.994662384107632,1.0619790689349875,0.1060660132650476,0.106066022008953,0.10606601726212217,0.0,0.0835,0.005345703125
