ic_index,psi0_real,psi0_imag,r0,ever_on_floor,floor_active_fraction,r_min,r_max,r_final,gamma,omega,drive,eps,h,n_steps
0,-1.4770767801830722,0.596890565611914,1.593120887400734,False,0.0,0.10440826754690455,1.593120887400734,0.1060660138968145,1.0,1.0,0.15,0.05,0.01,2000
1,-0.5667592798939847,-1.6509001418489797,1.7454762558404882,False,0.0,0.09776405371893386,1.7454762558404882,0.10606601797164225,1.0,1.0,0.15,0.05,0.01,2000
2,0.36519308036186465,-0.05637794414139964,0.36951922619776917,False,0.0,0.0996608645511381,0.36951922619776917,0.10606601782889694,1.0,1.0,0.15,0.05,0.01,2000
3,0.3527348150941228,-1.5299149481322452,1.5700514635826353,False,0.0,0.09389860377215506,1.5700514635826353,0.10606601943909968,1.0,1.0,0.15,0.05,0.01,2000
4,-0.40985071796327427,0.13207065470388815,0.4306045388159826,False,0.0,0.05514298820762763,0.4306045388159826,0.10606601627033334,1.0,1.0,0.15,0.05,0.01,2000
5,0.7772111474474704,-0.38521268930443,0.8674364436186462,False,0.0,0.0920650926288175,0.8674364436186462,0.1060660189106671,1.0,1.0,0.15,0.05,0.01,2000
6,0.5998637201901147,-1.2193966674190877,1.3589572161451962,False,0.0,0.09321015053564187,1.3589572161451962,0.10606601952562367,1.0,1.0,0.15,0.05,0.01,2000
7,0.14226201621110085,0.9879555017699364,0.998145557889196,True,0.0405,0.048291953691927826,0.998145557889196,0.10606601770951418,1.0,1.0,0.15,0.05,0.01,2000
8,1.1032079635312415,0.4676981103856463,1.1982526166285026,False,0.0,0.06442045456444404,1.1982526166285026,0.10606601853386771,1.0,1.0,0.15,0.05,0.01,2000
9,-1.1437594886279712,-1.2437935327917176,1.6897361095866477,False,0.0,0.1004950615241173,1.6897361095866477,0.10606601651584555,1.0,1.0,0.15,0.05,0.01,2000
10,-0.9552422803533682,1.2390939064051094,1.564557932153673,False,0.0,0.10022246060930318,1.564557932153673,0.10606601409445013,1.0,1.0,0.15,0.05,0.01,2000
11,1.5244380255296481,-1.2115677301213925,1.947256443910826,False,0.0,0.07955151782890621,1.947256443910826,0.1060660211272465,1.0,1.0,0.15,0.05,0.01,2000
12,0.5457683025073155,1.5052000172288587,1.6010902947327714,True,0.044,0.04800252519008911,1.6010902947327714,0.1060660172924516,1.0,1.0,0.15,0.05,0.01,2000
13,1.0009521483553085,0.2826627747388405,1.0400978067086615,False,0.0,0.07372546778325437,1.0400978067086615,0.10606601856069436,1.0,1.0,0.15,0.05,0.01,2000
14,-0.19508616085370106,-0.43607204173894815,0.4777210857215861,False,0.0,0.10371254566496456,0.4777210857215861,0.10606601727358204,1.0,1.0,0.15,0.05,0.01,2000
