theta_star,eta_B_n1,eta_B_n5,eta_B_n10
2.18,9.061449143114892e-07,4.530724571557446e-06,9.061449143114892e-06
2.356842105263158,9.000000838810442e-07,4.5000004194052215e-06,9.000000838810443e-06
2.533684210526316,9.062346365153078e-07,4.531173182576539e-06,9.062346365153078e-06
2.710526315789474,9.240767724139196e-07,4.620383862069598e-06,9.240767724139196e-06
2.887368421052632,9.513177433743437e-07,4.7565887168717185e-06,9.513177433743437e-06
3.0642105263157897,9.845852824221505e-07,4.9229264121107525e-06,9.845852824221505e-06
3.241052631578947,1.0197610700079208e-06,5.098805350039604e-06,1.0197610700079208e-05
3.417894736842105,1.052490556987743e-06,5.262452784938715e-06,1.052490556987743e-05
3.594736842105263,1.0787220313946527e-06,5.393610156973263e-06,1.0787220313946526e-05
3.771578947368421,1.0952081958044305e-06,5.476040979022152e-06,1.0952081958044304e-05
3.948421052631579,1.0999081630601952e-06,5.499540815300975e-06,1.099908163060195e-05
4.125263157894737,1.0922401057233962e-06,5.461200528616981e-06,1.0922401057233962e-05
4.302105263157895,1.0731532827816264e-06,5.365766413908132e-06,1.0731532827816265e-05
4.478947368421053,1.0450105271436988e-06,5.225052635718494e-06,1.0450105271436989e-05
4.6557894736842105,1.0112957412573306e-06,5.056478706286653e-06,1.0112957412573306e-05
4.832631578947368,9.761826111177738e-07,4.880913055588869e-06,9.761826111177738e-06
5.009473684210526,9.440179292571483e-07,4.720089646285741e-06,9.440179292571483e-06
5.186315789473684,9.187834881944946e-07,4.5939174409724725e-06,9.187834881944945e-06
5.363157894736842,9.036031586735325e-07,4.518015793367662e-06,9.036031586735324e-06
5.54,9.003561734124665e-07,4.501780867062332e-06,9.003561734124665e-06
