theta_star,baseline_delta_E,seesaw_delta_E,constraint_hits
2.18,1.1648821444176088e-05,7.79169630008153e-05,112397
2.356842105263158,1.1648821444176088e-05,0.00016129297984865398,98351
2.533684210526316,1.1648821444176088e-05,7.916224135040562e-05,113160
2.710526315789474,1.1648821444176088e-05,3.862510858640422e-05,125250
2.887368421052632,1.1648821444176088e-05,1.2226244399175107e-05,125250
3.0642105263157897,1.1648821444176088e-05,1.1648858782763172e-05,125250
3.241052631578947,1.1648821444176088e-05,1.1649216103280097e-05,125250
3.417894736842105,1.1648821444176088e-05,1.2726685960327833e-05,125250
3.594736842105263,1.1648821444176088e-05,4.3770688762011234e-05,125250
3.771578947368421,1.1648821444176088e-05,6.1178694104852e-05,112722
3.948421052631579,1.1648821444176088e-05,0.00016125043225028585,99516
4.125263157894737,1.1648821444176088e-05,8.764266344070404e-05,117249
4.302105263157895,1.1648821444176088e-05,3.214261808915861e-05,125250
4.478947368421053,1.1648821444176088e-05,1.195329175668336e-05,125250
4.6557894736842105,1.1648821444176088e-05,1.1648806737089845e-05,125250
4.832631578947368,1.1648821444176088e-05,1.165064614608996e-05,125250
5.009473684210526,1.1648821444176088e-05,1.350867615699386e-05,125250
5.186315789473684,1.1648821444176088e-05,4.414241401789337e-05,125250
5.363157894736842,1.1648821444176088e-05,6.400492825452131e-05,110544
5.54,1.1648821444176088e-05,0.00015857452269747024,96809
