theta_star,baseline_a_final,seesaw_a_final,constraint_hits
2.18,8.042986250213321,8.055569770575087,2000
2.5533333333333337,8.042986250213321,8.055441252110363,2000
2.9266666666666667,8.042986250213321,8.054461961841396,2000
3.3,8.042986250213321,8.054458076401259,2000
3.6733333333333333,8.042986250213321,8.055100485171021,2000
4.046666666666667,8.042986250213321,8.05594083015316,2000
4.42,8.042986250213321,8.054466013951318,2000
4.793333333333333,8.042986250213321,8.054458629415713,2000
5.166666666666666,8.042986250213321,8.054719631210702,2000
5.54,8.042986250213321,8.056304862118848,2000
