theta_star,baseline_delta_E,seesaw_delta_E,constraint_hits
2.18,3.5370108199261896e-05,0.0006613050932856579,111587
2.2485714285714287,3.5370108199261896e-05,0.0007030754360686231,101701
2.317142857142857,3.5370108199261896e-05,0.0010612630851782323,96735
2.385714285714286,3.5370108199261896e-05,0.0010793558534791803,96089
2.4542857142857146,3.5370108199261896e-05,0.0007703965388136114,100940
2.522857142857143,3.5370108199261896e-05,0.0006338708090184997,109545
2.5914285714285716,3.5370108199261896e-05,0.00028437591527563644,121680
2.66,3.5370108199261896e-05,0.0004152579896629094,125250
2.7285714285714286,3.5370108199261896e-05,0.00024147187855835806,125250
2.797142857142857,3.5370108199261896e-05,7.89062272649188e-05,125250
2.8657142857142857,3.5370108199261896e-05,4.2399482145905054e-05,125250
2.9342857142857146,3.5370108199261896e-05,3.6155749111699276e-05,125250
3.002857142857143,3.5370108199261896e-05,3.540548112107578e-05,125250
3.0714285714285716,3.5370108199261896e-05,3.537015002685884e-05,125250
3.14,3.5370108199261896e-05,3.5369986109506923e-05,17064
3.208571428571429,3.5370108199261896e-05,3.5370099406017985e-05,125250
3.2771428571428576,3.5370108199261896e-05,3.539959761325595e-05,125250
3.345714285714286,3.5370108199261896e-05,3.6068175651160495e-05,125250
3.4142857142857146,3.5370108199261896e-05,4.178946899591196e-05,125250
3.482857142857143,3.5370108199261896e-05,7.554577334922818e-05,125250
3.5514285714285716,3.5370108199261896e-05,0.00022944368169391938,125250
3.62,3.5370108199261896e-05,0.00042002275083685703,125250
3.6885714285714286,3.5370108199261896e-05,0.0002648995052776937,121595
3.757142857142857,3.5370108199261896e-05,0.0006447347614328414,112847
3.825714285714286,3.5370108199261896e-05,0.0007476637017831966,102560
3.8942857142857146,3.5370108199261896e-05,0.001074072372075685,98477
3.962857142857143,3.5370108199261896e-05,0.0010680437696175549,97180
4.031428571428572,3.5370108199261896e-05,0.000725237115250521,102245
4.1000000000000005,3.5370108199261896e-05,0.0006540062388417089,111752
4.168571428571429,3.5370108199261896e-05,0.0002495519042702843,123872
4.2371428571428575,3.5370108199261896e-05,0.0004228124839119607,125250
4.305714285714286,3.5370108199261896e-05,0.00021788388225160715,125250
4.3742857142857146,3.5370108199261896e-05,7.24518779490202e-05,125250
4.442857142857143,3.5370108199261896e-05,4.1231963533588933e-05,125250
4.511428571428572,3.5370108199261896e-05,3.5989731757696264e-05,125250
4.58,3.5370108199261896e-05,3.5394613042916134e-05,125250
4.6485714285714295,3.5370108199261896e-05,3.5370063235118376e-05,125250
4.717142857142857,3.5370108199261896e-05,3.536998610947917e-05,55176
4.7857142857142865,3.5370108199261896e-05,3.5370218750080396e-05,125250
4.854285714285714,3.5370108199261896e-05,3.54122945704638e-05,125250
4.9228571428571435,3.5370108199261896e-05,3.625189134146001e-05,125250
4.991428571428571,3.5370108199261896e-05,4.30566385490605e-05,125250
5.0600000000000005,3.5370108199261896e-05,8.249880895783157e-05,125250
5.128571428571429,3.5370108199261896e-05,0.00025374256254293015,125250
5.1971428571428575,3.5370108199261896e-05,0.0004085950201606625,125250
5.265714285714286,3.5370108199261896e-05,0.00030733078702782635,121764
5.3342857142857145,3.5370108199261896e-05,0.0006224251642146794,111094
5.402857142857143,3.5370108199261896e-05,0.0007929136092596489,100275
5.4714285714285715,3.5370108199261896e-05,0.0010840113100654136,95847
5.54,3.5370108199261896e-05,0.0010537652870722947,96018
