run_id,N,theta,max_charge,noise_sigma,enforce_zero_sum,n_samples,seed,mean_S_abs,rms_S_abs,mean_S_abs_over_sqrtN,rms_S_abs_over_sqrtN
zero_sum_grid_20251213,16,2.45,3,0.0,True,400,1234,3.8435313023881634,4.28579242501648,0.9608828255970409,1.07144810625412
zero_sum_grid_20251213,32,2.45,3,0.0,True,400,1234,5.852638662802678,6.446131811514674,1.0346101215755854,1.1395258790860876
zero_sum_grid_20251213,64,2.45,3,0.0,True,400,1234,9.331826439633664,10.262896456644727,1.166478304954208,1.2828620570805909
zero_sum_grid_20251213,128,2.45,3,0.0,True,400,1234,15.92890645886611,17.230251190156835,1.4079297217438025,1.5229534322634348
zero_sum_grid_20251213,256,2.45,3,0.0,True,400,1234,31.591050073287636,33.07453322229653,1.9744406295804773,2.067158326393533
zero_sum_grid_20251213,512,2.45,3,0.0,True,400,1234,60.743889503906985,62.37265522022356,2.684526011491186,2.7565079666769114
zero_sum_grid_20251213,1024,2.45,3,0.0,True,400,1234,120.23907591178431,121.8493210258783,3.7574711222432597,3.8077912820586968
zero_sum_grid_20251213,16,2.4525,3,0.0,True,400,1234,3.835799035550252,4.278894050480829,0.958949758887563,1.0697235126202072
zero_sum_grid_20251213,32,2.4525,3,0.0,True,400,1234,5.834933649153163,6.429184480228511,1.031480287772442,1.1365299858672222
zero_sum_grid_20251213,64,2.4525,3,0.0,True,400,1234,9.295262045394226,10.226373718029542,1.1619077556742783,1.2782967147536928
zero_sum_grid_20251213,128,2.4525,3,0.0,True,400,1234,15.833520743026865,17.1394414978982,1.39949873593152,1.5149269136142416
zero_sum_grid_20251213,256,2.4525,3,0.0,True,400,1234,31.371888975603206,32.86136885695229,1.9607430609752003,2.053835553559518
zero_sum_grid_20251213,512,2.4525,3,0.0,True,400,1234,60.28086380277078,61.919739317024174,2.66406297317012,2.7364917225231924
zero_sum_grid_20251213,1024,2.4525,3,0.0,True,400,1234,119.3043017508314,120.92493790738499,3.7282594297134812,3.778904309605781
zero_sum_grid_20251213,16,2.455,3,0.0,True,400,1234,3.828049045054125,4.271990122097756,0.9570122612635312,1.067997530524439
zero_sum_grid_20251213,32,2.455,3,0.0,True,400,1234,5.817135921907618,6.412176119281422,1.0283340643661838,1.1335233040265835
zero_sum_grid_20251213,64,2.455,3,0.0,True,400,1234,9.258542443008542,10.189711220628874,1.1573178053760678,1.2737139025786093
zero_sum_grid_20251213,128,2.455,3,0.0,True,400,1234,15.737650063705562,17.04820598358504,1.391024884998388,1.506862757257257
zero_sum_grid_20251213,256,2.455,3,0.0,True,400,1234,31.15120019522608,32.64685299596126,1.94695001220163,2.040428312247579
zero_sum_grid_20251213,512,2.455,3,0.0,True,400,1234,59.81431498602867,61.46362546611845,2.6434442336655626,2.716334147712658
