theta,N,mean_abs_S,rms_abs_S,mean_abs_S_over_sqrtN,run_id,seed,Ns,max_charge,noise_sigma,n_samples,enforce_zero_sum
2.178458,16,4.196,4.663,1.049,20251212_chain_residual_scan__seg3__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.178458,32,6.656,7.269,1.177,20251212_chain_residual_scan__seg3__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.178458,64,10.914,11.972,1.364,20251212_chain_residual_scan__seg3__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.178458,128,20.317,21.641,1.796,20251212_chain_residual_scan__seg3__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.178458,256,41.716,43.319,2.607,20251212_chain_residual_scan__seg3__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.178458,512,82.26,83.842,3.635,20251212_chain_residual_scan__seg3__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.178458,1024,162.968,164.662,5.093,20251212_chain_residual_scan__seg3__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.618034,16,3.454,3.904,0.863,20251212_chain_residual_scan__seg3__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.618034,32,4.785,5.391,0.846,20251212_chain_residual_scan__seg3__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.618034,64,7.145,8.031,0.893,20251212_chain_residual_scan__seg3__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.618034,128,10.124,11.509,0.895,20251212_chain_residual_scan__seg3__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.618034,256,16.2,18.127,1.013,20251212_chain_residual_scan__seg3__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.618034,512,26.223,29.078,1.159,20251212_chain_residual_scan__seg3__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.618034,1024,46.645,50.516,1.458,20251212_chain_residual_scan__seg3__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
