theta_star,baseline_final_A,seesaw_final_A,baseline_delta_E,seesaw_delta_E,constraint_hits
2.18,0.009999999999999948,0.009999999999999993,1.1648821444176088e-05,1.1803822885118886e-05,125250
2.5533333333333337,0.009999999999999948,0.010000000000000052,1.1648821444176088e-05,1.1784622618287582e-05,125250
2.9266666666666667,0.009999999999999948,0.00999999999999999,1.1648821444176088e-05,1.1649034443624029e-05,125250
3.3,0.009999999999999948,0.009999999999999985,1.1648821444176088e-05,1.1648824690749238e-05,125250
3.6733333333333333,0.009999999999999948,0.010000000000000033,1.1648821444176088e-05,1.1736216468667682e-05,125250
4.046666666666667,0.009999999999999948,0.009999999999999993,1.1648821444176088e-05,1.1853583739732804e-05,125250
4.42,0.009999999999999948,0.009999999999999945,1.1648821444176088e-05,1.1651005148594767e-05,125250
4.793333333333333,0.009999999999999948,0.01000000000000005,1.1648821444176088e-05,1.1648802133775588e-05,125250
5.166666666666666,0.009999999999999948,0.009999999999999934,1.1648821444176088e-05,1.1687097705603833e-05,125250
5.54,0.009999999999999948,0.01000000000000002,1.1648821444176088e-05,1.1900196411864655e-05,125250
