theta,omega_lambda,frw_sane
0.0,0.060547190529246495,0
0.0030679615757712823,0.060547190529246495,0
0.006135923151542565,0.060547190529246495,0
0.009203884727313847,0.060547190529246495,0
0.01227184630308513,0.060547190529246495,0
0.015339807878856412,0.060547190529246495,0
0.018407769454627694,0.060547190529246495,0
0.021475731030398976,0.060547190529246495,0
0.02454369260617026,0.060547190529246495,0
0.02761165418194154,0.060547190529246495,0
0.030679615757712823,0.060547190529246495,0
0.0337475773334841,0.060547190529246495,0
0.03681553890925539,0.060547190529246495,0
0.039883500485026674,0.060547190529246495,0
0.04295146206079795,0.060547190529246495,0
0.04601942363656923,0.060547190529246495,0
0.04908738521234052,0.060547190529246495,0
0.0521553467881118,0.060547190529246495,0
0.05522330836388308,0.060547190529246495,0
0.05829126993965436,0.060547190529246495,0
0.06135923151542565,0.060547190529246495,0
0.06442719309119693,0.060547190529246495,0
0.0674951546669682,0.060547190529246495,0
0.07056311624273949,0.060547190529246495,0
0.07363107781851078,0.060547190529246495,0
0.07669903939428206,0.060547190529246495,0
0.07976700097005335,0.060547190529246495,0
0.08283496254582462,0.060547190529246495,0
0.0859029241215959,0.060547190529246495,0
0.08897088569736719,0.060547190529246495,0
0.09203884727313846,0.060547190529246495,0
0.09510680884890975,0.060547190529246495,0
0.09817477042468103,0.060547190529246495,0
0.10124273200045232,0.060547190529246495,0
0.1043106935762236,0.060547190529246495,0
0.10737865515199488,0.060547190529246495,0
0.11044661672776616,0.060547190529246495,0
0.11351457830353745,0.060547190529246495,0
0.11658253987930872,0.060547190529246495,0
0.11965050145508001,0.060547190529246495,0
0.1227184630308513,0.060547190529246495,0
0.12578642460662257,0.060547190529246495,0
0.12885438618239387,0.060547190529246495,0
0.13192234775816514,0.060547190529246495,0
0.1349903093339364,0.060547190529246495,0
0.1380582709097077,0.060547190529246495,0
0.14112623248547898,0.060547190529246495,0
0.14419419406125028,0.060547190529246495,0
0.14726215563702155,0.060547190529246495,0
0.15033011721279282,0.060547190529246495,0
0.15339807878856412,0.060547190529246495,0
0.1564660403643354,0.060547190529246495,0
0.1595340019401067,0.060547190529246495,0
0.16260196351587797,0.060547190529246495,0
0.16566992509164924,0.060547190529246495,0
0.16873788666742054,0.060547190529246495,0
0.1718058482431918,0.060547190529246495,0
0.17487380981896308,0.0613384435003537,0
0.17794177139473438,0.06290038565657238,0
0.18100973297050565,0.06449119797483682,0
0.18407769454627693,0.06611114787724458,0
0.18714565612204823,0.06776050038166288,0
0.1902136176978195,0.06943951801769976,0
0.1932815792735908,0.07114846074301902,0
0.19634954084936207,0.07288758586001495,0
0.19941750242513334,0.07465714793287868,0
0.20248546400090464,0.07645739870507756,0
0.2055534255766759,0.07828858701726918,0
0.2086213871524472,0.08015095872567567,0
0.21168934872821848,0.08204475662094812,0
0.21475731030398976,0.08397022034752823,0
0.21782527187976106,0.08592758632355453,0
0.22089323345553233,0.0879170876613127,0
0.2239611950313036,0.08993895408826935,0
0.2270291566070749,0.0919934118687089,0
0.23009711818284617,0.0940806837259884,0
0.23316507975861744,0.09620098876544413,0
0.23623304133438874,0.09835454239796862,0
0.23930100291016002,0.10054155626427627,0
0.24236896448593132,0.10276223815988392,0
0.2454369260617026,0.10501679196083342,0
0.24850488763747386,0.10730541755015996,0
0.25157284921324513,0.10962831074515562,0
0.25464081078901646,0.11198566322542342,0
0.25770877236478773,0.1143776624617536,0
0.260776733940559,0.11680449164585366,0
0.2638446955163303,0.11926632962093114,0
0.26691265709210155,0.12176335081316479,0
0.2699806186678728,0.1242957251640855,0
0.27304858024364415,0.12686361806387533,0
0.2761165418194154,0.12946719028561465,0
0.2791845033951867,0.13210659792049706,0
0.28225246497095796,0.13478199231401705,0
0.28532042654672923,0.13749352000317572,0
0.28838838812250056,0.14024132265469416,0
0.29145634969827183,0.14302553700426995,0
0.2945243112740431,0.14584629479690095,0
0.2975922728498144,0.14870372272827112,0
0.30066023442558565,0.15159794238723442,0
0.303728196001357,0.15452907019941475,0
0.30679615757712825,0.15749721737192662,0
0.3098641191528995,0.16050248983923743,0
0.3129320807286708,0.16354498821020486,0
0.31600004230444206,0.16662480771626603,0
0.3190680038802134,0.16974203816084513,0
0.32213596545598466,0.17289676386994687,0
0.32520392703175593,0.17608906364398322,0
0.3282718886075272,0.17931901071083547,0
0.3313398501832985,0.1825866726801656,0
0.33440781175906975,0.18589211149898974,0
0.3374757733348411,0.1892353834085365,0
0.34054373491061235,0.19261653890239702,0
0.3436116964863836,0.19603562268596608,0
0.3466796580621549,0.19949267363722514,0
0.34974761963792617,0.20298772476882534,0
0.3528155812136975,0.20652080319153981,0
0.35588354278946877,0.21009193007904572,0
0.35895150436524004,0.2137011206340817,0
0.3620194659410113,0.21734838405598,0
0.3650874275167826,0.22103372350957212,0
0.36815538909255385,0.22475713609550155,0
0.3712233506683252,0.22851861282193076,0
0.37429131224409645,0.23231813857766853,0
0.3773592738198677,0.23615569210670484,0
0.380427235395639,0.24003124598419978,0
0.38349519697141027,0.24394476659387468,0
0.3865631585471816,0.2478962141068881,0
0.38963112012295287,0.2518855424621298,0
0.39269908169872414,0.25591269934799243,0
0.3957670432744954,0.25997762618560355,0
0.3988350048502667,0.26408025811352476,0
0.401902966426038,0.26822052397393303,0
0.4049709280018093,0.2723983463002733,0
0.40803888957758055,0.2766136413064163,0
0.4111068511533518,0.2808663188772734,0
0.4141748127291231,0.28515628256095066,0
0.4172427743048944,0.28948342956234613,0
0.4203107358806657,0.29384765073830066,0
0.42337869745643697,0.29824883059421214,0
