theta,E_vac
0.0,3.967422438472583e-07
0.0030679615757712823,3.967422438472583e-07
0.006135923151542565,3.967422438472583e-07
0.009203884727313847,3.967422438472583e-07
0.01227184630308513,3.967422438472583e-07
0.015339807878856412,3.967422438472583e-07
0.018407769454627694,3.967422438472583e-07
0.021475731030398976,3.967422438472583e-07
0.02454369260617026,3.967422438472583e-07
0.02761165418194154,3.967422438472583e-07
0.030679615757712823,3.967422438472583e-07
0.0337475773334841,3.967422438472583e-07
0.03681553890925539,3.967422438472583e-07
0.039883500485026674,3.967422438472583e-07
0.04295146206079795,3.967422438472583e-07
0.04601942363656923,3.967422438472583e-07
0.04908738521234052,3.967422438472583e-07
0.0521553467881118,3.967422438472583e-07
0.05522330836388308,3.967422438472583e-07
0.05829126993965436,3.967422438472583e-07
0.06135923151542565,3.967422438472583e-07
0.06442719309119693,3.967422438472583e-07
0.0674951546669682,3.967422438472583e-07
0.07056311624273949,3.967422438472583e-07
0.07363107781851078,3.967422438472583e-07
0.07669903939428206,3.967422438472583e-07
0.07976700097005335,3.967422438472583e-07
0.08283496254582462,3.967422438472583e-07
0.0859029241215959,3.967422438472583e-07
0.08897088569736719,3.967422438472583e-07
0.09203884727313846,3.967422438472583e-07
0.09510680884890975,3.967422438472583e-07
0.09817477042468103,3.967422438472583e-07
0.10124273200045232,3.967422438472583e-07
0.1043106935762236,3.967422438472583e-07
0.10737865515199488,3.967422438472583e-07
0.11044661672776616,3.967422438472583e-07
0.11351457830353745,3.967422438472583e-07
0.11658253987930872,3.967422438472583e-07
0.11965050145508001,3.967422438472583e-07
0.1227184630308513,3.967422438472583e-07
0.12578642460662257,3.967422438472583e-07
0.12885438618239387,3.967422438472583e-07
0.13192234775816514,3.967422438472583e-07
0.1349903093339364,3.967422438472583e-07
0.1380582709097077,3.967422438472583e-07
0.14112623248547898,3.967422438472583e-07
0.14419419406125028,3.967422438472583e-07
0.14726215563702155,3.967422438472583e-07
0.15033011721279282,3.967422438472583e-07
0.15339807878856412,3.967422438472583e-07
0.1564660403643354,3.967422438472583e-07
0.1595340019401067,3.967422438472583e-07
0.16260196351587797,3.967422438472583e-07
0.16566992509164924,3.967422438472583e-07
0.16873788666742054,3.967422438472583e-07
0.1718058482431918,3.967422438472583e-07
0.17487380981896308,4.0192701751658727e-07
0.17794177139473438,4.1216181834551245e-07
0.18100973297050565,4.2258579414308855e-07
0.18407769454627693,4.3320069722254613e-07
0.18714565612204823,4.440082641431273e-07
0.1902136176978195,4.5501021515947744e-07
0.1932815792735908,4.6620825367328934e-07
0.19634954084936207,4.776040656873052e-07
0.19941750242513334,4.891993192618842e-07
0.20248546400090464,5.009956639742774e-07
0.2055534255766759,5.1299473038075e-07
0.2086213871524472,5.251981294817196e-07
0.21168934872821848,5.376074521901066e-07
0.21475731030398976,5.502242688029418e-07
0.21782527187976106,5.630501284765437e-07
0.22089323345553233,5.760865587052597e-07
0.2239611950313036,5.893350648040315e-07
0.2270291566070749,6.027971293949117e-07
0.23009711818284617,6.164742118976299e-07
0.23316507975861744,6.303677480244296e-07
0.23623304133438874,6.444791492792982e-07
0.23930100291016002,6.588098024617088e-07
0.24236896448593132,6.733610691750469e-07
0.2454369260617026,6.881342853398995e-07
0.24850488763747386,7.031307607122302e-07
0.25157284921324513,7.183517784067663e-07
0.25464081078901646,7.337985944255637e-07
0.25770877236478773,7.494724371919619e-07
0.260776733940559,7.653745070901315e-07
0.2638446955163303,7.815059760102103e-07
0.26691265709210155,7.978679868992606e-07
0.2699806186678728,8.144616533181875e-07
0.27304858024364415,8.312880590046734e-07
0.2761165418194154,8.483482574423252e-07
0.2791845033951867,8.65643271436162e-07
0.28225246497095796,8.831740926944794e-07
0.28532042654672923,9.009416814173804e-07
0.28838838812250056,9.18946965891914e-07
0.29145634969827183,9.371908420940455e-07
0.2945243112740431,9.55674173297621e-07
0.2975922728498144,9.74397789690293e-07
0.30066023442558565,9.933624879966379e-07
0.303728196001357,1.0125690311085897e-06
0.30679615757712825,1.032018147723215e-06
0.3098641191528995,1.0517105319879703e-06
0.3129320807286708,1.0716468431536582e-06
0.31600004230444206,1.0918277052349308e-06
0.3190680038802134,1.1122537066787782e-06
0.32213596545598466,1.1329254000407863e-06
0.32520392703175593,1.1538433016694755e-06
0.3282718886075272,1.1750078913987354e-06
0.3313398501832985,1.1964196122484446e-06
0.33440781175906975,1.2180788701333611e-06
0.3374757733348411,1.239986033580431e-06
0.34054373491061235,1.262141433454563e-06
0.3436116964863836,1.2845453626928604e-06
0.3466796580621549,1.3071980760476496e-06
0.34974761963792617,1.3300997898380222e-06
0.3528155812136975,1.3532506817103542e-06
0.35588354278946877,1.3766508904075355e-06
0.35895150436524004,1.400300515547213e-06
0.3620194659410113,1.424199617409041e-06
0.3650874275167826,1.448348216730932e-06
0.36815538909255385,1.472746294514528e-06
0.3712233506683252,1.4973937918398068e-06
0.37429131224409645,1.5222906096889969e-06
0.3773592738198677,1.5474366087797127e-06
0.380427235395639,1.5728316094076206e-06
0.38349519697141027,1.598475391298292e-06
0.3865631585471816,1.6243676934687841e-06
0.38963112012295287,1.6505082140985161e-06
0.39269908169872414,1.6768966104098248e-06
0.3957670432744954,1.7035324985580912e-06
0.3988350048502667,1.7304154535314791e-06
0.401902966426038,1.7575450090603873e-06
0.4049709280018093,1.784920657536542e-06
0.40803888957758055,1.8125418499419516e-06
0.4111068511533518,1.8404079957874102e-06
0.4141748127291231,1.8685184630610856e-06
0.4172427743048944,1.8968725781865646e-06
0.4203107358806657,1.9254696259910792e-06
