theta_star,baseline_delta_E,seesaw_delta_E,constraint_hits
2.18,1.1648821444176088e-05,1.1648909234111132e-05,125250
2.356842105263158,1.1648821444176088e-05,1.164898009064358e-05,125250
2.533684210526316,1.1648821444176088e-05,1.1648908416879433e-05,125250
2.710526315789474,1.1648821444176088e-05,1.1648821677916199e-05,125250
2.887368421052632,1.1648821444176088e-05,1.1648802579155432e-05,125250
3.0642105263157897,1.1648821444176088e-05,1.1648802017431154e-05,125250
3.241052631578947,1.1648821444176088e-05,1.1648802017788507e-05,125250
3.417894736842105,1.1648821444176088e-05,1.1648803043610295e-05,125250
3.594736842105263,1.1648821444176088e-05,1.1648828281848878e-05,125250
3.771578947368421,1.1648821444176088e-05,1.1648922242452064e-05,125250
3.948421052631579,1.1648821444176088e-05,1.1648978787717063e-05,125250
4.125263157894737,1.1648821444176088e-05,1.1648895333806614e-05,125250
4.302105263157895,1.1648821444176088e-05,1.1648816621270125e-05,125250
4.478947368421053,1.1648821444176088e-05,1.1648802317368312e-05,125250
4.6557894736842105,1.1648821444176088e-05,1.164880201738605e-05,111657
4.832631578947368,1.1648821444176088e-05,1.1648802019224858e-05,124751
5.009473684210526,1.1648821444176088e-05,1.1648803735248014e-05,125250
5.186315789473684,1.1648821444176088e-05,1.164883572694203e-05,125250
5.363157894736842,1.1648821444176088e-05,1.1648934788329596e-05,125250
5.54,1.1648821444176088e-05,1.1648975080564422e-05,125250
